2005,Rnd,Pick,Tm,Player,Pos,Age,Sk
2005,1,1,SFO,Alex Smith,QB,21,""
2005,1,2,MIA,Ronnie Brown,RB,23,""
2005,1,3,CLE,Braylon Edwards,WR,22,""
2005,1,4,CHI,Cedric Benson,RB,22,""
2005,1,5,TAM,Cadillac Williams,RB,23,""
2005,1,6,TEN,Adam Jones,DB,21,3.0
2005,1,7,MIN,Troy Williamson,WR,22,""
2005,1,8,ARI,Antrel Rolle,DB,22,4.0
2005,1,9,WAS,Carlos Rogers,DB,24,1.0
2005,1,10,DET,Mike Williams,WR,21,""
2005,1,11,DAL,DeMarcus Ware,LB,23,138.5
2005,1,12,SDG,Shawne Merriman,LB,21,45.5
2005,1,13,NOR,Jammal Brown,T,24,""
2005,1,14,CAR,Thomas Davis,LB,22,29.0
2005,1,15,KAN,Derrick Johnson,LB,22,27.5
2005,1,16,HOU,Travis Johnson,DT,23,3.0
2005,1,17,CIN,David Pollack,LB,23,4.5
2005,1,18,MIN,Erasmus James,DE,22,5.0
2005,1,19,STL,Alex Barron,T,22,""
2005,1,20,DAL,Marcus Spears,DE,22,10.0
2005,1,21,JAX,Matt Jones,WR,22,""
2005,1,22,BAL,Mark Clayton,WR,23,""
2005,1,23,OAK,Fabian Washington,DB,22,""
2005,1,24,GNB,Aaron Rodgers,QB,21,""
2005,1,25,WAS,Jason Campbell,QB,23,""
2005,1,26,SEA,Chris Spencer,C,23,""
2005,1,27,ATL,Roddy White,WR,23,""
2005,1,28,SDG,Luis Castillo,DE,22,19.0
2005,1,29,IND,Marlin Jackson,DB,22,0.5
2005,1,30,PIT,Heath Miller,TE,22,""
2005,1,31,PHI,Mike Patterson,DT,22,16.5
2005,1,32,NWE,Logan Mankins,G,23,""
2005,2,33,SFO,David Baas,G,23,""
2005,2,34,CLE,Brodney Pool,DB,21,5.5
2005,2,35,PHI,Reggie Brown,WR,24,""
2005,2,36,TAM,Barrett Ruud,LB,22,6.0
2005,2,37,DET,Shaun Cody,DT,22,3.0
2005,2,38,OAK,Stanford Routt,DB,22,2.0
2005,2,39,CHI,Mark Bradley,WR,23,""
2005,2,40,NOR,Josh Bullocks,DB,22,1.0
2005,2,41,TEN,Michael Roos,T,22,""
2005,2,42,DAL,Kevin Burnett,LB,22,20.0
2005,2,43,NYG,Corey Webster,DB,23,2.0
2005,2,44,ARI,J.J. Arrington,RB,22,""
2005,2,45,SEA,Lofa Tatupu,LB,22,8.5
2005,2,46,MIA,Matt Roth,DE,22,23.5
2005,2,47,NYJ,Mike Nugent,K,23,""
2005,2,48,CIN,Odell Thurman,LB,22,1.5
2005,2,49,MIN,Marcus Johnson,G,21,""
2005,2,50,STL,Ron Bartell,DB,23,2.0
2005,2,51,GNB,Nick Collins,DB,22,1.0
