2019,Rnd,Pick,Tm,Player,Pos,Age,Sk
2019,1,1,ARI,Kyler Murray,QB,22,""
2019,1,2,SFO,Nick Bosa,DE,21,1.0
2019,1,3,NYJ,Quinnen Williams,DT,21,""
2019,1,4,OAK,Clelin Ferrell,DE,22,1.0
2019,1,5,TAM,Devin White,LB,21,""
2019,1,6,NYG,Daniel Jones,QB,22,""
2019,1,7,JAX,Josh Allen,LB,22,2.0
2019,1,8,DET,T.J. Hockenson,TE,22,""
2019,1,9,BUF,Ed Oliver,DT,21,""
2019,1,10,PIT,Devin Bush,LB,21,1.0
2019,1,11,CIN,Jonah Williams,G,21,""
2019,1,12,GNB,Rashan Gary,LB,21,1.0
2019,1,13,MIA,Christian Wilkins,DT,23,""
2019,1,14,ATL,Chris Lindstrom,G,22,""
2019,1,15,WAS,Dwayne Haskins,QB,22,""
2019,1,16,CAR,Brian Burns,DE,21,2.5
2019,1,17,NYG,Dexter Lawrence,DT,21,1.0
2019,1,18,MIN,Garrett Bradbury,C,24,""
2019,1,19,TEN,Jeffery Simmons,DT,22,""
2019,1,20,DEN,Noah Fant,TE,21,""
2019,1,21,GNB,Darnell Savage,S,22,""
2019,1,22,PHI,Andre Dillard,T,23,""
2019,1,23,HOU,Tytus Howard,T,23,""
2019,1,24,OAK,Josh Jacobs,RB,21,""
2019,1,25,BAL,Marquise Brown,WR,22,""
2019,1,26,WAS,Montez Sweat,DE,23,1.0
2019,1,27,OAK,Johnathan Abram,S,22,""
2019,1,28,LAC,Jerry Tillery,DT,22,0.5
2019,1,29,SEA,L.J. Collier,DE,23,""
2019,1,30,NYG,Deandre Baker,CB,22,""
2019,1,31,ATL,Kaleb McGary,T,24,""
2019,1,32,NWE,N'Keal Harry,WR,21,""
2019,2,33,ARI,Byron Murphy,CB,21,""
2019,2,34,IND,Rock Ya-Sin,CB,23,""
2019,2,35,JAX,Jawaan Taylor,T,21,""
2019,2,36,SFO,Deebo Samuel,WR,23,""
2019,2,37,CAR,Greg Little,T,21,""
2019,2,38,BUF,Cody Ford,T,22,""
2019,2,39,TAM,Sean Murphy-Bunting,CB,22,""
2019,2,40,OAK,Trayvon Mullen,CB,21,""
2019,2,41,DEN,Dalton Risner,T,24,""
2019,2,42,DEN,Drew Lock,QB,22,""
2019,2,43,DET,Jahlani Tavai,LB,22,1.0
2019,2,44,GNB,Elgton Jenkins,C,23,""
2019,2,45,NWE,Joejuan Williams,CB,21,""
2019,2,46,CLE,Greedy Williams,CB,21,""
2019,2,47,SEA,Marquise Blair,S,22,""
2019,2,48,NOR,Erik McCoy,C,22,""
2019,2,49,IND,Ben Banogu,LB,23,0.5
2019,2,50,MIN,Irv Smith Jr.,TE,21,""
2019,2,51,TEN,A.J. Brown,WR,22,""
2019,2,52,CIN,Drew Sample,TE,23,""
2019,2,53,PHI,Miles Sanders,RB,22,""
2019,2,54,HOU,Lonnie Johnson,CB,22,""
2019,2,55,HOU,Max Scharping,T,23,""
2019,2,56,KAN,Mecole Hardman,WR,21,""
2019,2,57,PHI,JJ Arcega-Whiteside,WR,22,""
2019,2,58,DAL,Trysten Hill,DT,21,""
2019,2,59,IND,Parris Campbell,WR,22,""
2019,2,60,LAC,Nasir Adderley,S,22,""
2019,2,61,LAR,Taylor Rapp,S,21,""
2019,2,62,ARI,Andy Isabella,WR,22,""
2019,2,63,KAN,Juan Thornhill,S,23,""
2019,2,64,SEA,D.K. Metcalf,WR,21,""
2019,3,65,ARI,Zach Allen,DE,22,""
2019,3,66,PIT,Diontae Johnson,WR,23,""
2019,3,67,SFO,Jalen Hurd,WR,23,""
2019,3,68,NYJ,Jachai Polite,LB,21,""
2019,3,69,JAX,Josh Oliver,TE,22,""
2019,3,70,LAR,Darrell Henderson,RB,22,""
2019,3,71,DEN,Dre'Mont Jones,DT,22,""
2019,3,72,CIN,Germaine Pratt,LB,23,""
2019,3,73,CHI,David Montgomery,RB,22,""
2019,3,74,BUF,Devin Singletary,RB,22,""
2019,3,75,GNB,Jace Sternberger,TE,23,""
2019,3,76,WAS,Terry McLaurin,WR,23,""
2019,3,77,NWE,Chase Winovich,DE,24,3.0
2019,3,78,MIA,Michael Deiter,G,23,""
2019,3,79,LAR,David Long,CB,21,""
2019,3,80,CLE,Sione Takitaki,LB,24,""
2019,3,81,DET,Will Harris,S,23,""
2019,3,82,TEN,Nate Davis,G,22,""
2019,3,83,PIT,Justin Layne,CB,21,""
2019,3,84,KAN,Khalen Saunders,DT,23,""
2019,3,85,BAL,Jaylon Ferguson,DE,23,""
2019,3,86,HOU,Kahale Warring,TE,22,""
2019,3,87,NWE,Damien Harris,RB,22,""
2019,3,88,SEA,Cody Barton,LB,22,""
2019,3,89,IND,Bobby Okereke,LB,23,""
2019,3,90,DAL,Connor McGovern,G,21,""
2019,3,91,LAC,Trey Pipkins,T,23,""
2019,3,92,NYJ,Chuma Edoga,T,22,""
2019,3,93,BAL,Miles Boykin,WR,22,""
2019,3,94,TAM,Jamel Dean,CB,22,""
2019,3,95,NYG,Oshane Ximines,DE,22,2.0
2019,3,96,BUF,Dawson Knox,TE,22,""
2019,3,97,LAR,Bobby Evans,T,22,""
2019,3,98,JAX,Quincy Williams,S,23,""
2019,3,99,TAM,Mike Edwards,S,23,""
2019,3,100,CAR,Will Grier,QB,24,""
2019,3,101,NWE,Yodny Cajuste,T,23,""
2019,3,102,MIN,Alexander Mattison,RB,21,""
2019,4,103,ARI,Hakeem Butler,WR,23,""
2019,4,104,CIN,Ryan Finley,QB,24,""
2019,4,105,NOR,Chauncey Gardner-Johnson,S,21,""
2019,4,106,OAK,Maxx Crosby,DE,22,""
2019,4,107,TAM,Anthony Nelson,DE,22,""
2019,4,108,NYG,Julian Love,CB,21,""
2019,4,109,IND,Khari Willis,S,23,""
2019,4,110,SFO,Mitch Wishnowsky,P,27,""
2019,4,111,ATL,Kendall Sheffield,CB,23,""
2019,4,112,WAS,Bryce Love,RB,22,""
2019,4,113,BAL,Justice Hill,RB,21,""
2019,4,114,MIN,Dru Samia,G,22,""
2019,4,115,CAR,Christian Miller,LB,23,2.0
2019,4,116,TEN,Amani Hooker,S,21,""
2019,4,117,DET,Austin Bryant,DE,22,""
2019,4,118,NWE,Hjalte Froholdt,G,23,""
2019,4,119,CLE,Sheldrick Redwine,S,22,""
2019,4,120,SEA,Gary Jennings Jr.,WR,22,""
2019,4,121,NYJ,Trevon Wesco,TE,23,""
2019,4,122,PIT,Benny Snell,RB,21,""
2019,4,123,BAL,Ben Powers,G,22,""
2019,4,124,SEA,Phil Haynes,G,23,""
2019,4,125,CIN,Renell Wren,DT,23,""
2019,4,126,CHI,Riley Ridley,WR,23,""
2019,4,127,BAL,Iman Marshall,CB,22,""
2019,4,128,DAL,Tony Pollard,RB,22,""
2019,4,129,OAK,Isaiah Johnson,CB,23,""
2019,4,130,LAC,Drue Tranquill,LB,24,""
2019,4,131,WAS,Wes Martin,G,23,""
2019,4,132,SEA,Ugochukwu Amadi,S,22,""
2019,4,133,NWE,Jarrett Stidham,QB,23,""
2019,4,134,LAR,Greg Gaines,DT,23,""
2019,4,135,ATL,John Cominsky,DE,23,""
2019,4,136,CIN,Michael Jordan,G,21,""
2019,4,137,OAK,Foster Moreau,TE,22,""
2019,4,138,PHI,Shareef Miller,DE,22,""
2019,5,139,ARI,Deionte Thompson,S,22,""
2019,5,140,JAX,Ryquell Armstead,RB,22,""
2019,5,141,PIT,Zach Gentry,TE,22,""
2019,5,142,SEA,Ben Burr-Kirven,LB,21,""
2019,5,143,NYG,Ryan Connelly,LB,23,1.0
2019,5,144,IND,Marvell Tell,S,23,""
2019,5,145,TAM,Matt Gay,K,25,""
2019,5,146,DET,Amani Oruwariye,CB,23,""
2019,5,147,BUF,Vosean Joseph,LB,21,""
2019,5,148,SFO,Dre Greenlaw,LB,22,""
2019,5,149,OAK,Hunter Renfrow,WR,23,""
2019,5,150,GNB,Kingsley Keke,DT,22,""
2019,5,151,MIA,Andrew Van Ginkel,LB,24,""
2019,5,152,ATL,Qadree Ollison,RB,22,""
2019,5,153,WAS,Ross Pierschbacher,G,24,""
2019,5,154,CAR,Jordan Scarlett,RB,23,""
2019,5,155,CLE,Mack Wilson,LB,21,""
2019,5,156,DEN,Justin Hollins,LB,23,""
2019,5,157,NYJ,Blake Cashman,LB,23,0.5
2019,5,158,DAL,Michael Jackson,CB,22,""
2019,5,159,NWE,Byron Cowart,DT,23,""
2019,5,160,BAL,Daylon Mack,DT,22,""
2019,5,161,HOU,Charles Omenihu,DE,22,1.0
2019,5,162,MIN,Cameron Smith,LB,22,""
2019,5,163,NWE,Jake Bailey,P,22,""
2019,5,164,IND,E.J. Speed,LB,24,""
2019,5,165,DAL,Joe Jackson,DE,"",""
