1937,Rnd,Pick,Tm,Player,Pos,Age,College/Univ
1937,1,1,PHI,Sam Francis,FB,23,Nebraska
1937,1,2,BKN,Ed Goddard,B,22,Washington St.
1937,1,3,CRD,Ray Buivid,B,22,Marquette
1937,1,4,NYG,Ed Widseth,T,27,Minnesota
1937,1,5,PIT,Mike Basrak,C,24,Duquesne
1937,1,6,WAS,Sammy Baugh HOF,QB,23,TCU
1937,1,7,DET,Lloyd Cardwell,WB,24,Nebraska
1937,1,8,CHI,Les McDonald,E,22,Nebraska
1937,1,9,GNB,Ed Jankowski,FB,24,Wisconsin
1937,1,10,RAM,Johnny Drake,B,21,Purdue
1937,2,11,PHI,Fran Murray,B,22,Pennsylvania
1937,2,12,CRD,Gaynell Tinsley,E,22,LSU
1937,2,13,BKN,Ace Parker HOF,TB,25,Duke
1937,2,14,NYG,Tarzan White,G,21,Alabama
1937,2,15,PIT,Bob Finley,B,"",SMU
1937,2,16,WAS,Nello Falaschi,BB,24,Santa Clara
1937,2,17,DET,Charley Hamrick,T,"",Ohio St.
1937,2,18,CHI,Marv Stewart,C,"",LSU
1937,2,19,GNB,Averell Daniell,T,22,Pittsburgh
1937,2,20,RAM,Julie Alfonse,WB,25,Minnesota
1937,3,21,PHI,Drew Ellis,T,22,TCU
1937,3,22,BKN,Max Starcevich,G,"",Washington
1937,3,23,CRD,Art Guepe,B,"",Marquette
1937,3,24,NYG,Jerry Dennerlein,T,21,St. Mary's (CA)
1937,3,25,PIT,Bill Breeden,B,23,Oklahoma
1937,3,26,WAS,Maurice Elder,B,"",Kansas St.
1937,3,27,DET,Vern Huffman,BB,22,Indiana
1937,3,28,CHI,Dick Plasman,E,23,Vanderbilt
1937,3,29,GNB,Charles (Bud) Wilkinson,T,"",Minnesota
1937,3,30,RAM,Bobby LaRue,B,"",Pittsburgh
1937,4,31,PHI,Walt Gilbert,B,"",Auburn
1937,4,32,CRD,H.K. (Bucky) Bryan,B,"",Tulane
1937,4,33,BKN,Bill Kurlish,B,"",Pennsylvania
1937,4,34,NYG,Ward Cuff,WB,25,Marquette
1937,4,35,PIT,Elmo (Bo) Hewes,B,"",Oklahoma
1937,4,36,WAS,Dick Bassi,G,22,Santa Clara
1937,4,37,DET,Bill Glassford,G,"",Pittsburgh
1937,4,38,CHI,Henry Hammond,E,24,Rhodes
1937,4,39,GNB,Bud Svendsen,C,22,Minnesota
1937,4,40,RAM,John Wiatrak,C,24,Washington
1937,5,41,PHI,Alex Drobnitch,G,"",Denver
1937,5,42,BKN,Bert Johnson,FB,25,Kentucky
1937,5,43,CRD,Ham Harmon,C,24,Tulsa
1937,5,44,NYG,Mickey Kobrosky,QB,22,Trinity (CT)
1937,5,45,PIT,Jack Frye,B,"",Missouri
1937,5,46,WAS,Chuck Bond,T,23,Washington
1937,5,47,DET,Maury Patt,E,22,Carnegie Mellon
1937,5,48,CHI,Bill Conkright,C,23,Oklahoma
1937,5,49,GNB,Dewitt Gibson,T,"",Northwestern
1937,5,50,RAM,Inwood Smith,G,"",Ohio St.
1937,6,51,PHI,Bill Guckeyson,B,"",Maryland
1937,6,52,CRD,Phil Dickens,B,"",Tennessee
1937,6,53,BKN,John Golemgeske,T,22,Wisconsin
1937,6,54,NYG,Jim Farley,G,"",VMI
1937,6,55,PIT,Walt Roach,E,"",TCU
1937,6,56,WAS,Jimmie Cain,B,"",Washington
1937,6,57,DET,George Bell,G,"",Purdue
1937,6,58,CHI,Del Bjork,T,23,Oregon
1937,6,59,GNB,Merle Wendt,E,"",Ohio St.
1937,6,60,RAM,Chris Dal Sasso,T,"",Indiana
1937,7,61,PHI,Babe Barna,E,"",West Virginia
1937,7,62,BKN,Fred Funk,B,"",UCLA
1937,7,63,CRD,Herm Dickerson,B,"",Virginia Tech
1937,7,64,NYG,Jim Poole,E,21,Mississippi
