1941,Rnd,Pick,Tm,Player,Pos,Age,College/Univ
1941,1,1,CHI,Tom Harmon,HB,21,Michigan
1941,1,2,CRD,John Kimbrough,FB,23,Texas A&M
1941,1,3,CHI,Norm Standlee,FB,22,Stanford
1941,1,4,RAM,Rudy Mucha,G,23,Washington
1941,1,5,DET,Jim Thomason,WB,21,Texas A&M
1941,1,6,NYG,George Franck,HB,22,Minnesota
1941,1,7,GNB,George Paskvan,FB,23,Wisconsin
1941,1,8,BKN,Dean McAdams,TB,23,Washington
1941,1,9,CHI,Don Scott,B,"",Ohio St.
1941,1,10,WAS,Forest Evashevski,B,"",Michigan
1941,2,11,PHI,Art Jones,WB,22,Richmond
1941,2,12,PIT,Chet Gladchuk,C,24,Boston Col.
1941,2,13,CRD,Paul Christman,QB,23,Missouri
1941,2,14,RAM,Abe Shires,T,24,Tennessee
1941,2,15,DET,Gene Goodreault,E,"",Boston Col.
1941,3,16,PHI,Marion Pugh,B,22,Texas A&M
1941,3,17,CRD,Bob Foxx,B,"",Tennessee
1941,3,18,PIT,Johnny Knolla,HB,22,Creighton
1941,3,19,RAM,Jay MacDowell,T,21,Washington
1941,3,20,DET,Harry Hopp,B,22,Nebraska
1941,3,21,GNB,Bob Paffrath,B,23,Minnesota
1941,3,22,NYG,Frank Reagan,B,22,Pennsylvania
1941,3,23,CHI,Hugh Gallarneau,HB,24,Stanford
1941,3,24,BKN,Leo Stasica,B,25,Colorado
1941,3,25,WAS,Fred Davis,T,22,Alabama
1941,4,26,PHI,Al Ghesquiere,B,"",Detroit Mercy
1941,4,27,PIT,Jim Ringgold,B,"",Wake Forest
1941,4,28,CRD,Johnny Clement,TB,21,SMU
1941,4,29,RAM,Walt (Butch) Luther,B,"",Nebraska
1941,4,30,DET,Augie Lio,G,23,Georgetown (DC)
1941,5,31,PHI,Royal Kahler,T,23,Nebraska
1941,5,32,CRD,Ray Apolskis,C,21,Marquette
1941,5,33,PIT,Vic Sears,T,23,Oregon St.
1941,5,34,RAM,Chet Haliski,B,"",Oregon
1941,5,35,DET,Robert Nelson,C,21,Baylor
1941,5,36,NYG,Len Eshmont,HB,24,Fordham
1941,5,37,GNB,Ed Frutig,E,23,Michigan
1941,5,38,BKN,Ray Frick,C,22,Pennsylvania
1941,5,39,CHI,Charlie O'Rourke,QB,24,Boston Col.
1941,5,40,WAS,Jim Stuart,T,22,Oregon
1941,6,41,PHI,Red Hickey,E,24,Arkansas
1941,6,42,PIT,Bob Suffridge,G,22,Tennessee
1941,6,43,CRD,Marshall Robnett,C,23,Texas A&M
1941,6,44,RAM,Jim Kisselburgh,B,"",Oregon St.
1941,6,45,DET,John Tripson,T,21,Mississippi St.
1941,6,46,GNB,Herm Rohrig,WB,23,Nebraska
1941,6,47,NYG,Lou DeFilippo,T,25,Fordham
1941,6,48,CHI,Tom O'Boyle,G,"",Tulane
1941,6,49,BKN,Ed Rucinski,E,25,Indiana
1941,6,50,WAS,Ed Cifers,E,25,Tennessee
1941,7,51,PHI,Julius (Mush) Battista,G,"",Florida
1941,7,52,CRD,John Kuzman,T,26,Fordham
1941,7,53,PIT,Jim Roberts,C,"",Marshall
1941,7,54,RAM,Ray Prochaska,E,22,Nebraska
1941,7,55,DET,John Jett,E,23,Wake Forest
1941,7,56,NYG,Don Vosberg,E,21,Marquette
1941,7,57,GNB,Bill Telesmanic,E,"",San Francisco
1941,7,58,BKN,Hal Newman,E,"",Alabama
1941,7,59,CHI,John Federovitch,T,24,Davis & Elkins
1941,7,60,WAS,Al Krueger,HB,22,USC
1941,8,61,CHI,Fred Hartman,T,24,Rice
1941,8,62,CHI,Dave Rankin,E,"",Purdue
1941,8,63,CRD,George Kracum,FB,23,Pittsburgh
1941,8,64,RAM,Tony Gallovich,WB,23,Wake Forest
1941,8,65,DET,Joseph Manzo,T,24,Boston Col.
1941,8,66,GNB,Bill Kuusisto,G,23,Minnesota
1941,8,67,NYG,Len Younce,G,24,Oregon St.
1941,8,68,CHI,Al Matuza,C,22,Georgetown (DC)
1941,8,69,BKN,Glenn Jackson,C,"",Texas
1941,8,70,WAS,Henry Wilder,B,"",Iowa St.
