1997,Rnd,Pick,Tm,Player,Pos,Age,Sk
1997,1,1,STL,Orlando Pace HOF,T,21,""
1997,1,2,OAK,Darrell Russell,DT,21,28.5
1997,1,3,SEA,Shawn Springs,DB,22,8.5
1997,1,4,BAL,Peter Boulware,LB,22,70.0
1997,1,5,DET,Bryant Westbrook,DB,22,""
1997,1,6,SEA,Walter Jones HOF,T,23,""
1997,1,7,NYG,Ike Hilliard,WR,21,""
1997,1,8,NYJ,James Farrior,LB,22,35.5
1997,1,9,ARI,Tom Knight,DB,22,2.5
1997,1,10,NOR,Chris Naeole,G,22,""
1997,1,11,ATL,Michael Booker,DB,22,""
1997,1,12,TAM,Warrick Dunn,RB,22,""
1997,1,13,KAN,Tony Gonzalez HOF,TE,21,""
1997,1,14,CIN,Reinard Wilson,LB,23,24.0
1997,1,15,MIA,Yatil Green,WR,23,""
1997,1,16,TAM,Reidel Anthony,WR,20,""
1997,1,17,WAS,Kenard Lang,DE,22,50.0
1997,1,18,TEN,Kenny Holmes,DE,23,38.5
1997,1,19,IND,Tarik Glenn,T,21,""
1997,1,20,MIN,Dwayne Rudd,LB,21,11.5
1997,1,21,JAX,Renaldo Wynn,DE,23,27.0
1997,1,22,DAL,David LaFleur,TE,23,""
1997,1,23,BUF,Antowain Smith,RB,25,""
1997,1,24,PIT,Chad Scott,DB,23,""
1997,1,25,PHI,Jon Harris,DE,23,2.0
1997,1,26,SFO,Jim Druckenmiller,QB,24,""
1997,1,27,CAR,Rae Carruth,WR,23,""
1997,1,28,DEN,Trevor Pryce,DT,22,91.0
1997,1,29,NWE,Chris Canty,DB,21,3.0
1997,1,30,GNB,Ross Verba,T,23,""
1997,2,31,NYJ,Rick Terry,DT,23,4.0
1997,2,32,ATL,Nathan Davis,DE,23,""
1997,2,33,NOR,Rob Kelly,DB,23,""
1997,2,34,BAL,Jamie Sharper,LB,22,25.5
1997,2,35,DET,Juan Roque,T,23,""
1997,2,36,NYG,Tiki Barber,RB,22,""
1997,2,37,TAM,Jerry Wunsch,T,23,""
1997,2,38,CHI,John Allred,TE,22,""
1997,2,39,NOR,Jared Tomich,DE,23,10.0
1997,2,40,STL,Dexter McCleon,DB,23,4.5
1997,2,41,ATL,Byron Hanspard,RB,21,""
1997,2,42,ARI,Jake Plummer,QB,22,""
1997,2,43,CIN,Corey Dillon,RB,22,""
1997,2,44,MIA,Sam Madison,DB,23,2.0
1997,2,45,SDG,Freddie Jones,TE,22,""
1997,2,46,TEN,Joey Kent,WR,23,""
1997,2,47,KAN,Kevin Lockett,WR,22,""
1997,2,48,IND,Adam Meadows,T,23,""
1997,2,49,MIN,Torrian Gray,DB,23,1.0
1997,2,50,JAX,Mike Logan,DB,22,4.5
1997,2,51,WAS,Greg Jones,LB,23,6.0
1997,2,52,BUF,Marcellus Wiley,DE,22,44.0
1997,2,53,PIT,Will Blackwell,WR,22,""
1997,2,54,DET,Kevin Abrams,DB,23,5.0
1997,2,55,SFO,Marc Edwards,FB,22,""
1997,2,56,CAR,Mike Minter,DB,23,11.0
1997,2,57,PHI,James Darling,LB,22,7.5
1997,2,58,BAL,Kim Herring,DB,21,2.0
1997,2,59,NWE,Brandon Mitchell,DE,22,11.0
1997,2,60,GNB,Darren Sharper,DB,21,7.5
1997,3,61,NWE,Sedrick Shaw,RB,23,""
