2007,Rnd,Pick,Tm,Player,Pos,Age,Sk
2007,1,1,OAK,JaMarcus Russell,QB,22,""
2007,1,2,DET,Calvin Johnson,WR,21,""
2007,1,3,CLE,Joe Thomas,T,22,""
2007,1,4,TAM,Gaines Adams,DE,24,13.5
2007,1,5,ARI,Levi Brown,T,23,""
2007,1,6,WAS,LaRon Landry,DB,22,8.0
2007,1,7,MIN,Adrian Peterson,RB,22,""
2007,1,8,ATL,Jamaal Anderson,DE,21,7.5
2007,1,9,MIA,Ted Ginn,WR,22,""
2007,1,10,HOU,Amobi Okoye,DT,20,16.0
2007,1,11,SFO,Patrick Willis,LB,22,20.5
2007,1,12,BUF,Marshawn Lynch,RB,21,""
2007,1,13,STL,Adam Carriker,DE,23,9.0
2007,1,14,NYJ,Darrelle Revis,DB,22,2.0
2007,1,15,PIT,Lawrence Timmons,LB,21,35.5
2007,1,16,GNB,Justin Harrell,DT,23,""
2007,1,17,DEN,Jarvis Moss,DE,23,6.0
2007,1,18,CIN,Leon Hall,DB,22,2.0
2007,1,19,TEN,Michael Griffin,DB,22,7.0
2007,1,20,NYG,Aaron Ross,DB,24,2.5
2007,1,21,JAX,Reggie Nelson,DB,23,6.5
2007,1,22,CLE,Brady Quinn,QB,22,""
2007,1,23,KAN,Dwayne Bowe,WR,22,""
2007,1,24,NWE,Brandon Meriweather,DB,23,6.0
2007,1,25,CAR,Jon Beason,LB,22,4.0
2007,1,26,DAL,Anthony Spencer,DE,23,33.0
2007,1,27,NOR,Robert Meachem,WR,22,""
2007,1,28,SFO,Joe Staley,T,23,""
2007,1,29,BAL,Ben Grubbs,G,23,""
2007,1,30,SDG,Craig Davis,WR,21,""
2007,1,31,CHI,Greg Olsen,TE,22,""
2007,1,32,IND,Anthony Gonzalez,WR,22,""
2007,2,33,ARI,Alan Branch,DT,22,10.5
2007,2,34,BUF,Paul Posluszny,LB,22,16.0
2007,2,35,TAM,Arron Sears,G,22,""
2007,2,36,PHI,Kevin Kolb,QB,23,""
2007,2,37,SDG,Eric Weddle,DB,22,9.5
2007,2,38,OAK,Zach Miller,TE,21,""
2007,2,39,ATL,Justin Blalock,G,23,""
2007,2,40,MIA,John Beck,QB,26,""
2007,2,41,ATL,Chris Houston,DB,22,""
2007,2,42,IND,Tony Ugoh,T,23,""
2007,2,43,DET,Drew Stanton,QB,23,""
2007,2,44,MIN,Sidney Rice,WR,21,""
2007,2,45,CAR,Dwayne Jarrett,WR,20,""
2007,2,46,PIT,LaMarr Woodley,DE,22,58.0
2007,2,47,NYJ,David Harris,LB,23,36.5
2007,2,48,JAX,Justin Durant,LB,21,4.5
2007,2,49,CIN,Kenny Irons,RB,"",""
2007,2,50,TEN,Chris Henry,RB,22,""
2007,2,51,NYG,Steve Smith,WR,22,""
2007,2,52,STL,Brian Leonard,RB,23,""
2007,2,53,CLE,Eric Wright,DB,22,1.0
2007,2,54,KAN,Turk McBride,DT,22,9.5
2007,2,55,SEA,Josh Wilson,DB,22,5.5
2007,2,56,DEN,Tim Crowder,DE,22,10.5
2007,2,57,PHI,Victor Abiamiri,DE,21,4.0
2007,2,58,DET,Ikaika Alama-Francis,DE,22,1.0
2007,2,59,CAR,Ryan Kalil,C,22,""
2007,2,60,MIA,Samson Satele,C,22,""
2007,2,61,DET,Gerald Alexander,DB,23,2.0
2007,2,62,CHI,Dan Bazuin,DE,"",""
2007,2,63,GNB,Brandon Jackson,RB,21,""
2007,2,64,TAM,Sabby Piscitelli,LB,24,""
2007,3,65,OAK,Quentin Moses,DE,23,3.5
2007,3,66,NOR,Usama Young,DB,22,6.0
2007,3,67,DAL,James Marten,T,23,""
2007,3,68,TAM,Quincy Black,LB,23,3.5
2007,3,69,ARI,Buster Davis,LB,23,""
2007,3,70,DEN,Ryan Harris,T,22,""
2007,3,71,MIA,Lorenzo Booker,RB,23,""
2007,3,72,MIN,Marcus McCauley,DB,24,""
2007,3,73,HOU,Jacoby Jones,WR,23,""
2007,3,74,BAL,Yamon Figurs,WR,24,""
2007,3,75,ATL,Laurent Robinson,WR,22,""
2007,3,76,SFO,Jason Hill,WR,22,""
2007,3,77,PIT,Matt Spaeth,TE,23,""
2007,3,78,GNB,James Jones,WR,23,""
2007,3,79,JAX,Mike Sims-Walker,WR,22,""
2007,3,80,TEN,Paul Williams,WR,23,""
2007,3,81,NYG,Jay Alford,DT,24,3.5
2007,3,82,KAN,Tank Tyler,DT,22,""
2007,3,83,CAR,Charles Johnson,DE,21,67.5
2007,3,84,STL,Jonathan Wade,DB,23,""
2007,3,85,SEA,Brandon Mebane,DT,22,18.5
2007,3,86,BAL,Marshal Yanda,T,22,""
2007,3,87,PHI,Stewart Bradley,LB,23,3.0
2007,3,88,NOR,Andy Alleman,G,23,""
2007,3,89,GNB,Aaron Rouse,DB,23,1.0
2007,3,90,PHI,Tony Hunt,RB,21,""
2007,3,91,OAK,Mario Henderson,DT,22,""
2007,3,92,BUF,Trent Edwards,QB,23,""
2007,3,93,CHI,Garrett Wolfe,RB,23,""
2007,3,94,CHI,Michael Okwo,LB,"",""
2007,3,95,IND,Dante Hughes,DB,22,""
2007,3,96,SDG,Anthony Waters,LB,23,""
2007,3,97,SFO,Ray McDonald,DE,22,19.5
2007,3,98,IND,Quinn Pitcock,DT,23,1.5
2007,3,99,OAK,Johnnie Lee Higgins,WR,23,""
2007,4,100,OAK,Michael Bush,RB,23,""
2007,4,101,JAX,Adam Podlesh,P,24,""
2007,4,102,MIN,Brian Robison,DE,24,60.0
2007,4,103,DAL,Isaiah Stanback,QB,23,""
2007,4,104,SFO,Jay Moore,DE,"",""
2007,4,105,DET,A.J. Davis,DB,"",""
2007,4,106,TAM,Tanard Jackson,DB,22,1.0
2007,4,107,NOR,Antonio Pittman,RB,21,""
2007,4,108,MIA,Paul Soliai,DT,23,5.5
2007,4,109,ATL,Stephen Nicholas,LB,24,8.0
2007,4,110,OAK,John Bowie,DB,23,""
2007,4,111,BUF,Dwayne Wright,RB,24,""
2007,4,112,PIT,Daniel Sepulveda,P,23,""
2007,4,113,JAX,Brian Smith,DE,"",""
2007,4,114,CIN,Marvin White,DB,23,""
