2008,Rnd,Pick,Tm,Player,Pos,Age,Sk
2008,1,1,MIA,Jake Long,T,23,""
2008,1,2,STL,Chris Long,DE,23,70.0
2008,1,3,ATL,Matt Ryan,QB,23,""
2008,1,4,OAK,Darren McFadden,RB,21,""
2008,1,5,KAN,Glenn Dorsey,DT,23,7.0
2008,1,6,NYJ,Vernon Gholston,DE,22,""
2008,1,7,NOR,Sedrick Ellis,DT,23,12.5
2008,1,8,JAX,Derrick Harvey,DE,21,8.0
2008,1,9,CIN,Keith Rivers,LB,22,3.0
2008,1,10,NWE,Jerod Mayo,LB,22,11.0
2008,1,11,BUF,Leodis McKelvin,DB,23,""
2008,1,12,DEN,Ryan Clady,T,22,""
2008,1,13,CAR,Jonathan Stewart,RB,21,""
2008,1,14,CHI,Chris Williams,T,23,""
2008,1,15,KAN,Branden Albert,G,23,""
2008,1,16,ARI,Dominique Rodgers-Cromartie,DB,22,2.5
2008,1,17,DET,Gosder Cherilus,T,24,""
2008,1,18,BAL,Joe Flacco,QB,23,""
2008,1,19,CAR,Jeff Otah,T,22,""
2008,1,20,TAM,Aqib Talib,DB,22,1.0
2008,1,21,ATL,Sam Baker,T,23,""
2008,1,22,DAL,Felix Jones,RB,21,""
2008,1,23,PIT,Rashard Mendenhall,RB,21,""
2008,1,24,TEN,Chris Johnson,RB,22,""
2008,1,25,DAL,Mike Jenkins,DB,23,""
2008,1,26,HOU,Duane Brown,T,23,""
2008,1,27,SDG,Antoine Cason,DB,22,""
2008,1,28,SEA,Lawrence Jackson,DE,23,19.5
2008,1,29,SFO,Kentwan Balmer,DT,21,""
2008,1,30,NYJ,Dustin Keller,TE,23,""
2008,1,31,NYG,Kenny Phillips,DB,21,""
2008,2,32,MIA,Phillip Merling,DE,23,3.5
2008,2,33,STL,Donnie Avery,WR,24,""
2008,2,34,WAS,Devin Thomas,WR,21,""
2008,2,35,KAN,Brandon Flowers,DB,22,3.0
2008,2,36,GNB,Jordy Nelson,WR,23,""
2008,2,37,ATL,Curtis Lofton,LB,22,8.0
2008,2,38,SEA,John Carlson,TE,24,""
2008,2,39,SFO,Chilo Rachal,G,22,""
2008,2,40,NOR,Tracy Porter,DB,22,2.5
2008,2,41,BUF,James Hardy,WR,22,""
2008,2,42,DEN,Eddie Royal,WR,22,""
2008,2,43,MIN,Tyrell Johnson,DB,23,""
2008,2,44,CHI,Matt Forte,RB,22,""
2008,2,45,DET,Jordon Dizon,LB,22,1.0
2008,2,46,CIN,Jerome Simpson,WR,22,""
2008,2,47,PHI,Trevor Laws,DT,23,5.0
2008,2,48,WAS,Fred Davis,TE,22,""
2008,2,49,PHI,DeSean Jackson,WR,21,""
2008,2,50,ARI,Calais Campbell,DE,22,84.5
2008,2,51,WAS,Malcolm Kelly,WR,21,""
2008,2,52,JAX,Quentin Groves,DE,24,9.5
2008,2,53,PIT,Limas Sweed,WR,23,""
2008,2,54,TEN,Jason Jones,DE,22,31.5
2008,2,55,BAL,Ray Rice,RB,21,""
2008,2,56,GNB,Brian Brohm,QB,22,""
2008,2,57,MIA,Chad Henne,QB,23,""
2008,2,58,TAM,Dexter Jackson,WR,22,""
2008,2,59,IND,Mike Pollak,T,23,""
2008,2,60,GNB,Pat Lee,DB,24,""
2008,2,61,DAL,Martellus Bennett,TE,21,""
2008,2,62,NWE,Terrence Wheatley,DB,23,""
2008,2,63,NYG,Terrell Thomas,DB,23,3.0
2008,3,64,DET,Kevin Smith,RB,21,""
2008,3,65,STL,John Greco,T,23,""
2008,3,66,MIA,Kendall Langford,DE,22,22.5
2008,3,67,CAR,Charles Godfrey,DB,22,3.0
2008,3,68,ATL,Chevis Jackson,DB,22,1.0
2008,3,69,SDG,Jacob Hester,FB,23,""
2008,3,70,CHI,Earl Bennett,WR,21,""
2008,3,71,BAL,Tavares Gooden,LB,23,""
2008,3,72,BUF,Chris Ellis,DE,23,1.0
2008,3,73,KAN,Jamaal Charles,RB,21,""
2008,3,74,CAR,Dan Connor,LB,22,1.0
2008,3,75,SFO,Reggie Smith,DB,21,""
2008,3,76,KAN,Brad Cottam,TE,23,""
2008,3,77,CIN,Pat Sims,DT,22,9.0
2008,3,78,NWE,Shawn Crable,LB,23,0.5
2008,3,79,HOU,Antwaun Molden,DB,23,""
2008,3,80,PHI,Bryan Smith,LB,24,""
2008,3,81,ARI,Early Doucet,WR,22,""
2008,3,82,KAN,DaJuan Morgan,DB,22,""
2008,3,83,TAM,Jeremy Zuttah,G,22,""
2008,3,84,ATL,Harry Douglas,WR,23,""
2008,3,85,TEN,Craig Stevens,TE,24,""
2008,3,86,BAL,Tom Zbikowski,DB,23,2.0
2008,3,87,DET,Andre Fluellen,DT,23,4.5
2008,3,88,PIT,Bruce Davis,LB,23,""
2008,3,89,HOU,Steve Slaton,RB,22,""
2008,3,90,CHI,Marcus Harrison,DT,24,3.0
2008,3,91,GNB,Jermichael Finley,TE,21,""
2008,3,92,DET,Cliff Avril,LB,22,74.0
2008,3,93,IND,Philip Wheeler,LB,23,6.5
2008,3,94,NWE,Kevin O'Connell,QB,23,""
2008,3,95,NYG,Mario Manningham,WR,22,""
2008,3,96,WAS,Chad Rinehart,T,23,""
2008,3,97,CIN,Andre Caldwell,WR,23,""
2008,3,98,ATL,Thomas DeCoud,DB,23,3.0
2008,3,99,BAL,Oniel Cousins,G,24,""
2008,4,100,OAK,Tyvon Branch,DB,21,9.0
2008,4,101,STL,Justin King,DB,21,1.0
2008,4,102,GNB,Jeremy Thompson,DE,22,""
2008,4,103,TEN,William Hayes,DE,23,37.5
2008,4,104,CLE,Beau Bell,LB,22,""
2008,4,105,KAN,Will Franklin,WR,22,""
2008,4,106,BAL,Marcus Smith,WR,23,""
2008,4,107,SFO,Cody Wallace,C,23,""
2008,4,108,DEN,Kory Lichtensteiger,C,23,""
2008,4,109,PHI,Mike McGlynn,T,23,""
2008,4,110,MIA,Shawn Murphy,T,25,""
2008,4,111,CLE,Martin Rucker,TE,23,""
2008,4,112,CIN,Anthony Collins,T,22,""
2008,4,113,NYJ,Dwight Lowery,DB,22,5.0
2008,4,114,BUF,Reggie Corner,DB,24,1.0
