2015,Rnd,Pick,Tm,Player,Pos,Age,Sk
2015,1,1,TAM,Jameis Winston,QB,21,""
2015,1,2,TEN,Marcus Mariota,QB,21,""
2015,1,3,JAX,Dante Fowler,OLB,21,18.0
2015,1,4,OAK,Amari Cooper,WR,21,""
2015,1,5,WAS,Brandon Scherff,T,23,""
2015,1,6,NYJ,Leonard Williams,DE,21,17.0
2015,1,7,CHI,Kevin White,WR,23,""
2015,1,8,ATL,Vic Beasley,OLB,23,31.0
2015,1,9,NYG,Ereck Flowers,T,21,""
2015,1,10,STL,Todd Gurley,RB,21,""
2015,1,11,MIN,Trae Waynes,CB,23,1.0
2015,1,12,CLE,Danny Shelton,NT,22,2.5
2015,1,13,NOR,Andrus Peat,T,21,""
2015,1,14,MIA,DeVante Parker,WR,22,""
2015,1,15,SDG,Melvin Gordon,RB,22,""
2015,1,16,HOU,Kevin Johnson,CB,23,1.0
2015,1,17,SFO,Arik Armstead,DT,21,11.0
2015,1,18,KAN,Marcus Peters,CB,22,""
2015,1,19,CLE,Cameron Erving,C,23,""
2015,1,20,PHI,Nelson Agholor,WR,22,""
2015,1,21,CIN,Cedric Ogbuehi,T,23,""
2015,1,22,PIT,Bud Dupree,OLB,22,22.0
2015,1,23,DEN,Shane Ray,DE,22,14.0
2015,1,24,ARI,D.J. Humphries,T,21,""
2015,1,25,CAR,Shaq Thompson,OLB,21,8.5
2015,1,26,BAL,Breshad Perriman,WR,21,""
2015,1,27,DAL,Byron Jones,CB,22,""
2015,1,28,DET,Laken Tomlinson,G,23,""
2015,1,29,IND,Phillip Dorsett,WR,22,""
2015,1,30,GNB,Damarious Randall,S,23,1.0
2015,1,31,NOR,Stephone Anthony,ILB,23,1.0
2015,1,32,NWE,Malcom Brown,DT,21,9.5
2015,2,33,NYG,Landon Collins,S,21,4.0
2015,2,34,TAM,Donovan Smith,T,22,""
2015,2,35,OAK,Mario Edwards,DT,21,7.5
2015,2,36,JAX,T.J. Yeldon,RB,21,""
2015,2,37,NYJ,Devin Smith,WR,23,""
2015,2,38,WAS,Preston Smith,DE,22,29.0
2015,2,39,CHI,Eddie Goldman,DT,21,11.5
2015,2,40,TEN,Dorial Green-Beckham,WR,22,""
2015,2,41,CAR,Devin Funchess,TE,21,""
2015,2,42,ATL,Jalen Collins,CB,22,""
2015,2,43,HOU,Benardrick McKinney,ILB,22,11.0
2015,2,44,NOR,Hau'oli Kikaha,OLB,23,8.0
2015,2,45,MIN,Eric Kendricks,ILB,23,8.5
2015,2,46,SFO,Jaquiski Tartt,S,23,3.5
2015,2,47,PHI,Eric Rowe,CB,22,""
2015,2,48,SDG,Denzel Perryman,ILB,22,4.0
2015,2,49,KAN,Mitch Morse,G,23,""
2015,2,50,BUF,Ronald Darby,CB,21,""
2015,2,51,CLE,Nate Orchard,DE,22,5.0
2015,2,52,MIA,Jordan Phillips,NT,22,6.5
2015,2,53,CIN,Jake Fisher,T,22,""
2015,2,54,DET,Ameer Abdullah,RB,22,""
2015,2,55,BAL,Maxx Williams,TE,21,""
2015,2,56,PIT,Senquez Golson,CB,22,""
2015,2,57,STL,Rob Havenstein,T,23,""
2015,2,58,ARI,Markus Golden,DE,24,22.5
2015,2,59,DEN,Ty Sambrailo,T,23,""
2015,2,60,DAL,Randy Gregory,OLB,22,7.0
2015,2,61,TAM,Ali Marpet,C,22,""
2015,2,62,GNB,Quinten Rollins,CB,23,1.0
2015,2,63,SEA,Frank Clark,DE,22,36.0
2015,2,64,NWE,Jordan Richards,S,22,""
2015,3,65,IND,D'Joun Smith,CB,22,""
2015,3,66,TEN,Jeremiah Poutasi,G,21,""
2015,3,67,JAX,A.J. Cann,G,23,""
2015,3,68,OAK,Clive Walford,TE,23,""
2015,3,69,SEA,Tyler Lockett,WR,22,""
2015,3,70,HOU,Jaelen Strong,WR,21,""
2015,3,71,CHI,Hroniss Grasu,C,24,""
2015,3,72,STL,Jamon Brown,T,22,""
2015,3,73,ATL,Tevin Coleman,RB,22,""
2015,3,74,NYG,Owamagbe Odighizuwa,DE,23,""
2015,3,75,NOR,Garrett Grayson,QB,24,""
2015,3,76,KAN,Chris Conley,WR,22,""
2015,3,77,CLE,Duke Johnson,RB,21,""
2015,3,78,NOR,P.J. Williams,CB,22,2.0
2015,3,79,SFO,Eli Harold,OLB,21,9.0
2015,3,80,DET,Alex Carter,CB,20,""
2015,3,81,BUF,John Miller,G,22,""
2015,3,82,NYJ,Lorenzo Mauldin,OLB,22,6.5
2015,3,83,SDG,Craig Mager,CB,23,""
2015,3,84,PHI,Jordan Hicks,OLB,23,5.5
2015,3,85,CIN,Tyler Kroft,TE,22,""
2015,3,86,ARI,David Johnson,RB,23,""
2015,3,87,PIT,Sammie Coates,WR,22,""
2015,3,88,MIN,Danielle Hunter,DE,20,43.0
2015,3,89,STL,Sean Mannion,QB,23,""
2015,3,90,BAL,Carl Davis,DT,23,0.5
2015,3,91,DAL,Chaz Green,T,23,""
2015,3,92,DEN,Jeff Heuerman,TE,22,""
2015,3,93,IND,Henry Anderson,DE,24,10.0
2015,3,94,GNB,Ty Montgomery,WR,22,""
2015,3,95,WAS,Matt Jones,RB,22,""
2015,3,96,CLE,Xavier Cooper,DT,23,3.0
2015,3,97,NWE,Geneo Grissom,DE,23,1.0
2015,3,98,KAN,Steven Nelson,CB,22,""
2015,3,99,CIN,Paul Dawson,ILB,22,""
2015,4,100,TEN,Angelo Blackson,DT,22,3.5
2015,4,101,NWE,Trey Flowers,DE,22,22.0
2015,4,102,CAR,Daryl Williams,G,23,""
2015,4,103,NYJ,Bryce Petty,QB,24,""
2015,4,104,JAX,James Sample,S,23,""
2015,4,105,WAS,Jamison Crowder,WR,22,""
2015,4,106,CHI,Jeremy Langford,RB,23,""
2015,4,107,ATL,Justin Hardy,WR,23,""
2015,4,108,TEN,Jalston Fowler,FB,25,""
2015,4,109,IND,Clayton Geathers,S,23,""
2015,4,110,MIN,T.J. Clemmings,T,23,""
2015,4,111,NWE,Tre' Jackson,G,22,""
2015,4,112,WAS,Arie Kouandjio,G,23,""
2015,4,113,DET,Gabe Wright,DT,23,""
2015,4,114,MIA,Jamil Douglas,G,23,""
2015,4,115,CLE,Ibraheim Campbell,S,23,""
2015,4,116,ARI,Rodney Gunter,DT,23,8.0
2015,4,117,SFO,Blake Bell,TE,24,""
2015,4,118,KAN,Ramik Wilson,ILB,23,""
2015,4,119,STL,Andrew Donnal,T,23,""
2015,4,120,CIN,Josh Shaw,CB,23,""
2015,4,121,PIT,Doran Grant,CB,22,""
2015,4,122,BAL,Za'Darius Smith,DE,22,21.5
2015,4,123,CLE,Vince Mayle,WR,24,""
2015,4,124,TAM,Kwon Alexander,OLB,21,7.0
2015,4,125,BAL,Javorius Allen,RB,24,""
2015,4,126,SFO,Mike Davis,RB,22,""
2015,4,127,DAL,Damien Wilson,ILB,22,3.0
2015,4,128,OAK,Jon Feliciano,G,23,""
2015,4,129,GNB,Jake Ryan,OLB,23,1.0
2015,4,130,SEA,Terry Poole,G,23,""
2015,4,131,NWE,Shaq Mason,C,22,""
2015,4,132,SFO,DeAndre Smelter,WR,23,""
2015,4,133,DEN,Max Garcia,C,23,""
2015,4,134,SEA,Mark Glowinski,G,23,""
2015,4,135,CIN,Marcus Hardison,DE,23,""
2015,4,136,BAL,Tray Walker,CB,23,""
2015,5,137,ATL,Grady Jarrett,NT,22,16.0
2015,5,138,TEN,David Cobb,RB,22,""
2015,5,139,JAX,Rashad Greene,WR,22,""
2015,5,140,OAK,Ben Heeney,ILB,23,2.5
2015,5,141,WAS,Martrell Spaight,OLB,22,""
2015,5,142,CHI,Adrian Amos,S,22,2.0
2015,5,143,MIN,MyCole Pruitt,TE,23,""
2015,5,144,NYG,Mykkele Thompson,S,22,""
2015,5,145,MIA,Bobby McCain,CB,22,4.0
2015,5,146,MIN,Stefon Diggs,WR,21,""
2015,5,147,GNB,Brett Hundley,QB,22,""
2015,5,148,NOR,Davis Tull,OLB,23,""
2015,5,149,MIA,Jay Ajayi,RB,22,""
2015,5,150,MIA,Cedric Thompson,S,22,""
2015,5,151,IND,David Parry,NT,23,5.0
2015,5,152,NYJ,Jarvis Harrison,G,23,""
2015,5,153,SDG,Kyle Emanuel,OLB,24,4.0
2015,5,154,NOR,Tyeler Davison,DT,22,3.5
2015,5,155,BUF,Karlos Williams,RB,22,""
2015,5,156,MIA,Tony Lippett,WR,23,""
2015,5,157,CIN,C.J. Uzomah,TE,22,""
2015,5,158,ARI,Shaquille Riddick,DE,22,""
2015,5,159,ARI,JJ Nelson,WR,23,""
2015,5,160,PIT,Jesse James,TE,21,""
2015,5,161,OAK,Neiron Ball,OLB,23,1.0
2015,5,162,TAM,Kenny Bell,WR,23,""
2015,5,163,DAL,Ryan Russell,DE,23,3.0
2015,5,164,DEN,Lorenzo Doss,CB,21,""
2015,5,165,SFO,Bradley Pinion,P,21,""
2015,5,166,NWE,Joe Cardona,LS,23,""
2015,5,167,NOR,Damian Swann,CB,22,""
2015,5,168,DET,Michael Burton,FB,23,""
2015,5,169,CAR,David Mayo,LB,22,""
2015,5,170,SEA,Tye Smith,CB,22,""
2015,5,171,BAL,Nick Boyle,TE,22,""
2015,5,172,KAN,D.J. Alexander,OLB,23,""
2015,5,173,KAN,James O'Shaughnessy,TE,23,""
2015,5,174,CAR,Cameron Artis-Payne,RB,25,""
2015,5,175,HOU,Keith Mumphery,WR,23,""
2015,5,176,BAL,Robert Myers,G,23,""
2015,6,177,TEN,Deiontrez Mount,OLB,22,""
2015,6,178,NWE,Matthew Wells,LB,24,""
2015,6,179,OAK,Max Valles,OLB,21,""
2015,6,180,JAX,Michael Bennett,DT,22,0.5
2015,6,181,WAS,Kyshoen Jarrett,S,22,""
2015,6,182,WAS,Tevin Mitchel,CB,23,""
2015,6,183,CHI,Tayo Fabuluje,T,24,""
2015,6,184,TAM,Kaelin Clay,WR,23,""
2015,6,185,MIN,Tyrus Thompson,T,23,""
2015,6,186,NYG,Geremy Davis,WR,23,""
2015,6,187,WAS,Evan Spencer,WR,22,""
2015,6,188,BUF,Tony Steward,OLB,22,""
2015,6,189,CLE,Charles Gaines,CB,22,""
2015,6,190,SFO,Ian Silberman,G,22,""
2015,6,191,PHI,JaCorey Shepherd,CB,22,""
2015,6,192,SDG,Darius Philon,DT,21,9.5
2015,6,193,MIN,B.J. Dubose,DE,23,""
2015,6,194,BUF,Nick O'Leary,TE,23,""
2015,6,195,CLE,Malcolm Johnson,TE,23,""
2015,6,196,PHI,Randall Evans,CB,23,""
2015,6,197,CIN,Derron Smith,S,23,""
2015,6,198,CLE,Randall Telfer,TE,23,""
2015,6,199,PIT,Leterrius Walton,DT,23,2.0
2015,6,200,DET,Quandre Diggs,CB,22,1.0
2015,6,201,STL,Bud Sasser,WR,"",""
2015,6,202,NWE,A.J. Derby,TE,23,""
2015,6,203,DEN,Darius Kilgo,NT,23,""
2015,6,204,BAL,Darren Waller,WR,22,""
2015,6,205,IND,Josh Robinson,RB,23,""
2015,6,206,GNB,Aaron Ripkowski,FB,22,""
2015,6,207,IND,Amarlo Herrera,ILB,23,""
2015,6,208,TEN,Andy Gallik,C,23,""
2015,6,209,SEA,Obum Gwacham,DE,24,2.5
2015,6,210,GNB,Christian Ringo,DE,23,1.5
2015,6,211,HOU,Reshard Cliett,OLB,23,""
