1958,Rnd,Pick,Tm,Player,Pos,Age,College/Univ
1958,1,1,CRD,King Hill,QB,21,Rice
1958,1,2,CRD,John David Crow,HB,23,Texas A&M
1958,1,3,GNB,Dan Currie,LB,23,Michigan St.
1958,1,4,RAM,Lou Michaels,DE,22,Kentucky
1958,1,5,RAM,Red Phillips,E,22,Auburn
1958,1,6,PHI,Walt Kowalczyk,FB,23,Michigan St.
1958,1,7,CHI,Chuck Howley,LB,22,West Virginia
1958,1,8,SFO,James Pace,HB,22,Michigan
1958,1,9,SFO,Charlie Krueger,DT,21,Texas A&M
1958,1,10,DET,Alex Karras,DT,23,Iowa
1958,1,11,BAL,Lenny Lyles,DB,22,Louisville
1958,1,12,NYG,Phil King,HB,22,Vanderbilt
1958,1,13,CLE,Jim Shofner,DB,22,TCU
1958,2,14,CRD,Jim McCusker,T,22,Pittsburgh
1958,2,15,GNB,Jim Taylor HOF,FB,22,LSU
1958,2,16,WAS,Mike Sommer,HB,23,George Washington
1958,2,17,PHI,Proverb Jacobs,T,23,California
1958,2,18,CHI,Willard Dewveall,E,22,SMU
1958,2,19,RAM,Clendon Thomas,DB,22,Oklahoma
1958,2,20,PIT,Larry Krutko,FB,23,West Virginia
1958,2,21,CRD,Bobby Jack Oliver,T,"",Rice
1958,2,22,SFO,Bob Newman,B,"",Washington St.
1958,2,23,NYG,Frank Youso,T,22,Minnesota
1958,2,24,BAL,Bob Stransky,HB,22,Colorado
1958,2,25,CLE,Charley Mitchell,G,"",Florida
1958,3,26,CRD,Larry Cowart,C,"",Baylor
1958,3,27,GNB,Dick Christy,HB,22,North Carolina St.
1958,3,28,WAS,Stan Flowers,B,"",Georgia Tech
1958,3,29,CHI,Ed Cooke,DE,23,Maryland
1958,3,30,RAM,Jim Jones,DB,23,Washington
1958,3,31,WAS,Bill Anderson,E,22,Tennessee
1958,3,32,PIT,Billy Krisher,G,22,Oklahoma
1958,3,33,SFO,Bob Hoppe,B,"",Auburn
1958,3,34,CLE,Buzz Guy,G,22,Duke
1958,3,35,BAL,Joe Nicely,G,"",West Virginia
1958,3,36,GNB,Ray Nitschke HOF,LB,21,Illinois
1958,3,37,CHI,Don Healy,DT,22,Maryland
1958,4,38,RAM,Urban Henry,DT,23,Georgia Tech
1958,4,39,GNB,Jerry Kramer HOF,G,22,Idaho
1958,4,40,WAS,Dan Nolan,QB,"",Lehigh
1958,4,41,RAM,John Guzik,LB,22,Pittsburgh
1958,4,42,CHI,Erich Barnes,DB,23,Purdue
1958,4,43,PHI,Frank Rigney,T,"",Iowa
1958,4,44,RAM,Frank Woidzik,T,"",Buffalo
1958,4,45,DET,Wayne Walker,LB,21,Idaho
1958,4,46,SFO,John Varone,B,"",Miami (FL)
1958,4,47,NYG,Donnie Caraway,B,"",Houston
1958,4,48,BAL,Les Walters,DB,21,Penn St.
1958,4,49,CLE,Jim Ninowski,QB,22,Michigan St.
1958,5,50,BAL,Ray Brown,DB,21,Mississippi
1958,5,51,GNB,Joe Francis,QB,22,Oregon St.
1958,5,52,PHI,Bobby Mulgado,B,"",Arizona St.
1958,5,53,CHI,Bob Jewett,E,23,Michigan St.
1958,5,54,WAS,Jim Van Pelt,QB,"",Michigan
1958,5,55,RAM,Frank Ryan,QB,22,Rice
1958,5,56,RAM,John Baker,DE,23,North Carolina Central
1958,5,57,NYG,Dick Day,T,"",Washington
1958,5,58,NYG,Bobby Joe Conrad,FL,22,Texas A&M
1958,5,59,SFO,Billy Atkins,DB,23,Auburn
1958,5,60,CLE,Farrell Funston,E,"",Pacific
1958,5,61,CLE,Jim Gibbons,E,21,Iowa
1958,6,62,GNB,Ken Gray,G,22,Howard Payne
1958,6,63,CRD,Bobby Gordon,DB,22,Tennessee
1958,6,64,PHI,John Kersey,T,"",Duke
1958,6,65,CHI,Merrill Douglas,FB,22,Utah
1958,6,66,WAS,Dick Lynch,DB,22,Notre Dame
1958,6,67,RAM,Floyd Iglehart,HB,24,Wiley
1958,6,68,PIT,Dick Lasse,LB,22,Syracuse
1958,6,69,BAL,Bob Taylor,E,"",Vanderbilt
1958,6,70,NYG,Billy Lott,FB,23,Mississippi
1958,6,71,SFO,Henry Schmidt,DT,22,USC
1958,6,72,CLE,Jim Wulff,DB,22,Michigan St.
1958,6,73,DET,Dan Lewis,HB,22,Wisconsin
1958,7,74,CRD,Jon Jelacic,DE,21,Minnesota
1958,7,75,GNB,Doug Maison,B,"",Hillsdale
1958,7,76,PHI,Len Mansfield,T,"",Pittsburg St.
1958,7,77,CHI,Gene Bentley,B,"",Texas Tech
1958,7,78,WAS,Leon Bennett,T,"",Boston Col.
1958,7,79,BAL,Johnny Sample,DB,22,Md-Eastern Shore
1958,7,80,RAM,Bill Jobko,LB,22,Ohio St.
1958,7,81,NYG,Vernon Vaughn,E,"",Md-Eastern Shore
1958,7,82,BAL,John Diehl,DT,22,Virginia
1958,7,83,DET,Ralph Pfeifer,B,"",Kansas St.
1958,7,84,CLE,Bobby Mitchell HOF,FL,23,Illinois
1958,7,85,DET,Hal Outten,T,"",Virginia
1958,8,86,GNB,Mike Bill,C,"",Syracuse
1958,8,87,SFO,Leon Burton,HB,23,Arizona St.
1958,8,88,PHI,Bill Striegel,G,22,Pacific
1958,8,89,CHI,Ed Rutsch,T,"",George Washington
1958,8,90,WAS,Buddy Payne,E,"",North Carolina
1958,8,91,RAM,Bobby Marks,B,"",Texas A&M
