2001,Rnd,Pick,Tm,Player,Pos,Age,Sk
2001,1,1,ATL,Michael Vick,QB,21,""
2001,1,2,ARI,Leonard Davis,T,23,""
2001,1,3,CLE,Gerard Warren,DT,23,36.5
2001,1,4,CIN,Justin Smith,DE,21,87.0
2001,1,5,SDG,LaDainian Tomlinson HOF,RB,22,""
2001,1,6,NWE,Richard Seymour,DE,21,57.5
2001,1,7,SFO,Andre Carter,DE,22,80.5
2001,1,8,CHI,David Terrell,WR,26,""
2001,1,9,SEA,Koren Robinson,WR,21,""
2001,1,10,GNB,Jamal Reynolds,DE,22,3.0
2001,1,11,CAR,Dan Morgan,LB,22,7.0
2001,1,12,STL,Damione Lewis,DT,23,23.5
2001,1,13,JAX,Marcus Stroud,DT,23,29.5
2001,1,14,TAM,Kenyatta Walker,T,22,""
2001,1,15,WAS,Rod Gardner,WR,23,""
2001,1,16,NYJ,Santana Moss,WR,22,""
2001,1,17,SEA,Steve Hutchinson,G,23,""
2001,1,18,DET,Jeff Backus,T,23,""
2001,1,19,PIT,Casey Hampton,NT,24,9.0
2001,1,20,STL,Adam Archuleta,DB,23,18.0
2001,1,21,BUF,Nate Clements,DB,21,4.5
2001,1,22,NYG,Will Allen,DB,23,5.0
2001,1,23,NOR,Deuce McAllister,RB,22,""
2001,1,24,DEN,Willie Middlebrooks,DB,22,1.0
2001,1,25,PHI,Freddie Mitchell,WR,22,""
2001,1,26,MIA,Jamar Fletcher,DB,22,1.0
2001,1,27,MIN,Michael Bennett,RB,23,""
2001,1,28,OAK,Derrick Gibson,DB,22,2.0
2001,1,29,STL,Ryan Pickett,DT,21,9.5
2001,1,30,IND,Reggie Wayne,WR,22,""
2001,1,31,BAL,Todd Heap,TE,21,""
2001,2,32,SDG,Drew Brees,QB,22,""
2001,2,33,CLE,Quincy Morgan,WR,23,""
2001,2,34,ARI,Kyle Vanden Bosch,DE,22,58.0
2001,2,35,ATL,Alge Crumpler,TE,23,""
2001,2,36,CIN,Chad Johnson,WR,23,""
2001,2,37,IND,Idrees Bashir,DB,22,""
2001,2,38,CHI,Anthony Thomas,RB,23,""
2001,2,39,PIT,Kendrell Bell,LB,23,20.5
2001,2,40,SEA,Ken Lucas,DB,22,""
2001,2,41,GNB,Robert Ferguson,WR,21,""
2001,2,42,STL,Tommy Polley,LB,23,6.0
2001,2,43,JAX,Maurice Williams,T,22,""
2001,2,44,CAR,Kris Jenkins,DT,22,24.0
2001,2,45,WAS,Fred Smoot,DB,21,""
2001,2,46,BUF,Aaron Schobel,DE,24,78.0
2001,2,47,SFO,Jamie Winborn,LB,22,10.0
2001,2,48,NWE,Matt Light,T,23,""
2001,2,49,NYJ,LaMont Jordan,RB,22,""
2001,2,50,DET,Dominic Raiola,C,22,""
2001,2,51,DEN,Paul Toviessi,DE,"",""
2001,2,52,MIA,Chris Chambers,WR,23,""
2001,2,53,DAL,Quincy Carter,QB,23,""
2001,2,54,ARI,Michael Stone,DB,23,""
2001,2,55,PHI,Quinton Caver,LB,23,""
2001,2,56,DAL,Tony Dixon,DB,22,6.0
2001,2,57,MIN,Willie Howard,DE,23,""
2001,2,58,BUF,Travis Henry,RB,22,""
2001,2,59,OAK,Marques Tuiasosopo,QB,22,""
2001,2,60,TEN,Andre Dyson,DB,22,1.0
2001,2,61,DET,Shaun Rogers,DT,22,37.5
2001,2,62,BAL,Gary Baxter,DB,22,3.0
2001,3,63,PHI,Derrick Burgess,DE,23,52.0
2001,3,64,ARI,Adrian Wilson,DB,21,25.5
2001,3,65,CLE,James Jackson,RB,25,""
2001,3,66,CIN,Sean Brewer,TE,23,""
2001,3,67,SDG,Tay Cody,DB,23,""
2001,3,68,CHI,Mike Gandy,T,22,""
2001,3,69,MIN,Eric Kelly,DB,24,""
2001,3,70,NOR,Sedrick Hodge,LB,22,1.0
2001,3,71,GNB,Bhawoh Jue,DB,22,1.5
2001,3,72,GNB,Torrance Marshall,LB,24,1.0
2001,3,73,JAX,Eric Westmoreland,LB,24,2.0
2001,3,74,CAR,Steve Smith,WR,22,""
2001,3,75,KAN,Eric Downing,DT,22,2.0
2001,3,76,BUF,Ron Edwards,DT,22,16.5
2001,3,77,KAN,Snoop Minnis,WR,24,""
2001,3,78,NYG,Will Peterson,DB,22,""
2001,3,79,NYJ,Kareem McKenzie,T,22,""
2001,3,80,SFO,Kevan Barlow,RB,22,""
2001,3,81,NOR,Kenny Smith,DT,23,4.5
2001,3,82,SEA,Heath Evans,FB,22,""
2001,3,83,STL,Brian Allen,LB,23,1.0
2001,3,84,TAM,Dwight Smith,DB,23,2.0
2001,3,85,MIA,Travis Minor,RB,22,""
2001,3,86,NWE,Brock Williams,DB,22,""
2001,3,87,DEN,Reggie Hayward,DE,22,39.5
2001,3,88,MIA,Morlon Greenwood,LB,23,7.0
2001,3,89,OAK,DeLawrence Grant,DE,21,7.0
2001,3,90,TEN,Shad Meier,TE,23,""
2001,3,91,IND,Cory Bird,DB,23,0.5
2001,3,92,BAL,Casey Rabach,C,23,""
2001,3,93,DAL,Willie Blade,DT,22,1.0
2001,3,94,JAX,James Boyd,DB,23,""
2001,3,95,BUF,Jonas Jennings,T,23,""
2001,4,96,NWE,Kenyatta Jones,T,22,""
2001,4,97,CLE,Anthony Henry,DB,24,2.0
2001,4,98,ARI,Bill Gramatica,K,23,""
2001,4,99,ATL,Roberto Garza,G,22,""
2001,4,100,CIN,Rudi Johnson,RB,21,""
2001,4,101,NYJ,Jamie Henderson,DB,22,""
2001,4,102,ATL,Matt Stewart,LB,22,8.0
2001,4,103,CHI,Karon Riley,LB,23,""
2001,4,104,SEA,Orlando Huff,LB,23,3.0
2001,4,105,GNB,Bill Ferrario,G,22,""
2001,4,106,CAR,Chris Weinke,QB,29,""
2001,4,107,KAN,Monty Beisel,LB,23,4.5
2001,4,108,KAN,George Layne,RB,22,""
2001,4,109,WAS,Sage Rosenfels,QB,23,""
2001,4,110,BUF,Brandon Spoon,LB,23,""
2001,4,111,PIT,Mathias Nkwenti,T,23,""
2001,4,112,SDG,Carlos Polk,LB,24,4.0
2001,4,113,DEN,Ben Hamilton,G,24,""
2001,4,114,NYG,Cedric Scott,DE,23,""
2001,4,115,NOR,Moran Norris,FB,23,""
2001,4,116,STL,Milton Wynn,WR,22,""
2001,4,117,TAM,John Howell,DB,23,""
2001,4,118,IND,Ryan Diem,T,22,""
2001,4,119,NWE,Jabari Holloway,TE,22,""
2001,4,120,DEN,Nick Harris,P,23,""
2001,4,121,PHI,Correll Buckhalter,RB,22,""
2001,4,122,DAL,Markus Steele,LB,22,""
2001,4,123,ARI,Marcus Bell,DT,22,6.5
2001,4,124,TEN,Justin McCareins,WR,22,""
2001,4,125,NYG,Jesse Palmer,QB,22,""
2001,4,126,BAL,Ed Hartwell,LB,23,7.0
2001,4,127,SEA,Curtis Fuller,DB,23,""
2001,4,128,SEA,Floyd Womack,T,22,""
2001,4,129,STL,Brandon Manumaleuna,TE,21,""
2001,4,130,MIN,Shawn Worthen,DT,25,""
2001,4,131,MIN,Cedric James,WR,22,""
2001,5,132,SDG,Elliot Silvers,T,"",""
2001,5,133,ARI,Mario Fatafehi,DT,22,5.0
2001,5,134,CLE,Jeremiah Pharms,LB,"",""
2001,5,135,CIN,Victor Leyva,G,23,""
2001,5,136,ATL,Vinny Sutherland,WR,23,""
2001,5,137,DAL,Matt Lehr,C,22,""
2001,5,138,CHI,Bernard Robertson,T,22,""
2001,5,139,SDG,Zeke Moreno,LB,22,3.0
2001,5,140,SEA,Alex Bannister,WR,22,""
2001,5,141,KAN,Bill Baber,TE,22,""
2001,5,142,JAX,David Leaverton,P,"",""
2001,5,143,CAR,Jarrod Cooper,DB,23,1.5
2001,5,144,BUF,Marques Sullivan,G,23,""
2001,5,145,STL,Jerametrius Butler,DB,22,""
2001,5,146,PIT,Chukky Okobi,C,22,""
2001,5,147,PHI,Tony Stewart,TE,22,""
2001,5,148,DET,Scotty Anderson,WR,21,""
2001,5,149,DET,Mike McMahon,QB,22,""
2001,5,150,KAN,Derrick Blaylock,RB,22,""
2001,5,151,TAM,Russ Hochstein,C,23,""
2001,5,152,IND,Raymond Walls,DB,22,""
2001,5,153,NOR,Onomo Ojo,WR,"",""
2001,5,154,WAS,Darnerien McCants,WR,24,""
2001,5,155,PHI,A.J. Feeley,QB,24,""
2001,5,156,MIA,Shawn Draper,T,"",""
2001,5,157,MIN,Patrick Chukwurah,LB,22,9.0
2001,5,158,OAK,Ray Perryman,DB,22,""
2001,5,159,TEN,Eddie Berlin,WR,23,""
2001,5,160,NYG,John Markham,K,"",""
2001,5,161,BAL,Chris Barnes,RB,"",""
2001,5,162,NYG,Jonathan Carter,WR,22,""
2001,5,163,NWE,Hakim Akbar,LB,21,""
2001,6,164,MIA,Brandon Winey,T,23,""
2001,6,165,CLE,Michael Jameson,DB,22,1.0
2001,6,166,ARI,Bobby Newcombe,WR,"",""
2001,6,167,ATL,Randy Garner,DE,"",""
2001,6,168,CIN,Riall Johnson,LB,23,""
2001,6,169,SFO,Cedrick Wilson,WR,22,""
2001,6,170,JAX,Chad Ward,G,"",""
2001,6,171,DAL,Daleroy Stewart,DT,22,1.5
2001,6,172,SEA,Josh Booty,QB,"",""
2001,6,173,DET,Jason Glenn,LB,22,""
2001,6,174,TAM,Jameel Cook,FB,22,""
2001,6,175,CAR,Dee Brown,RB,23,""
2001,6,176,KAN,Alex Sulfsted,T,23,""
2001,6,177,MIA,Josh Heupel,QB,"",""
2001,6,178,BUF,Tony Driver,DB,24,""
2001,6,179,SFO,Rashad Holman,DB,23,""
