1940,Rnd,Pick,Tm,Player,Pos,Age,College/Univ
1940,1,1,CRD,George Cafego,FB,25,Tennessee
1940,1,2,PHI,George McAfee HOF,HB,22,Duke
1940,1,3,PIT,Kay Eakin,HB,23,Arkansas
1940,1,4,BKN,Banks McFadden,HB,23,Clemson
1940,1,5,RAM,Olie Cordill,WB,24,Rice
1940,1,6,DET,Doyle Nave,B,"",USC
1940,1,7,CHI,Bulldog Turner HOF,C,21,Hardin-Simmons
1940,1,8,WAS,Ed Boell,B,"",NYU
1940,1,9,GNB,Hal Van Every,TB,22,Minnesota
1940,1,10,NYG,Grenny Lansdell,HB,22,USC
1940,2,11,CRD,George (Snuffy) Stirnweiss,B,"",North Carolina
1940,2,12,PIT,Ralph Wenzel,E,22,Tulane
1940,2,13,PHI,John Schiechl,C,23,Santa Clara
1940,2,14,BKN,Nile Kinnick,B,"",Iowa
1940,2,15,RAM,Merl Condit,HB,23,Carnegie Mellon
1940,3,16,CRD,Lloyd Madden,WB,22,Colorado Mines
1940,3,17,PHI,Dick Favor,B,"",Oklahoma
1940,3,18,PIT,George Kiick,FB,23,Bucknell
1940,3,19,BKN,Rhoten Shetley,B,22,Furman
1940,3,20,RAM,Jack Haman,C,22,Northwestern
1940,3,21,DET,Bill Fisk,E,23,USC
1940,3,22,CHI,Ken Kavanaugh,E,23,LSU
1940,3,23,WAS,Burt (Buddy) Banker,B,"",Tulane
1940,3,24,GNB,Lou Brock,B,22,Purdue
1940,3,25,NYG,John McLaughry,BB,23,Brown
1940,4,26,CRD,John Shirk,E,23,Oklahoma
1940,4,27,PIT,Pop Ivy,E,24,Oklahoma
1940,4,28,PHI,Elbie Schultz,T,22,Oregon St.
1940,4,29,BKN,Bill Bailey,E,24,Duke
1940,4,30,RAM,Bobby Wood,T,24,Alabama
1940,5,31,CRD,Marty Christiansen,FB,24,Minnesota
1940,5,32,PHI,Frank Emmons,B,21,Oregon
1940,5,33,PIT,Clark Goff,T,22,Florida
1940,5,34,BKN,Walt Merrill,T,23,Alabama
1940,5,35,RAM,Park Myers,T,"",Texas
1940,5,36,DET,Harry Smith,T,22,USC
1940,5,37,CHI,Ed Kolman,T,24,Temple
1940,5,38,WAS,Bill Kirchem,T,"",Tulane
1940,5,39,GNB,Esco Sarkkinen,E,"",Ohio St.
1940,5,40,NYG,Carl Tomasello,E,23,Scranton
1940,6,41,CRD,Vic Reginato,E,"",Oregon
1940,6,42,PIT,Frank Bykowski,G,25,Purdue
1940,6,43,PHI,Saul Singer,T,"",Arkansas
1940,6,44,BKN,Jack Murray,C,"",Wisconsin
1940,6,45,RAM,Ken Heineman,TB,22,Texas-El Paso
1940,6,46,DET,Jim Rike,C,"",Tennessee
1940,6,47,CHI,John Woudenberg,T,22,Denver
1940,6,48,WAS,Joe Boyd,T,"",Texas A&M
1940,6,49,GNB,Dick Cassiano,B,22,Pittsburgh
1940,6,50,NYG,Lou Smith,B,"",California
1940,7,51,CRD,Andy Chisick,C,24,Villanova
1940,7,52,PHI,Hal (Mike) Pegg,C,"",Bucknell
1940,7,53,PIT,Pete Cignetti,B,"",Boston Col.
1940,7,54,BKN,Ty Coon,G,25,North Carolina St.
1940,7,55,RAM,Bob Nowaskey,E,22,George Washington
1940,7,56,DET,Bob Winslow,DE,23,USC
1940,7,57,CHI,Len Akin,G,24,Baylor
1940,7,58,WAS,Roy Zimmerman,QB,22,San Jose St.
1940,7,59,GNB,Millard White,T,"",Tulane
1940,7,60,NYG,Rex Williams,C,22,Texas Tech
1940,8,61,CRD,Ben Kish,B,23,Pittsburgh
1940,8,62,PIT,Carl Nery,G,23,Duquesne
1940,8,63,PHI,Don Looney,E,24,TCU
1940,8,64,BKN,Frank Zadworney,HB,23,Ohio St.
1940,8,65,RAM,Bob Anahu,E,"",Santa Clara
