1986,Rnd,Pick,Tm,Player,Pos,Age,College/Univ
1986,1,1,TAM,Bo Jackson,RB,23,Auburn
1986,1,2,ATL,Tony Casillas,DT,22,Oklahoma
1986,1,3,HOU,Jim Everett,QB,23,Purdue
1986,1,4,IND,Jon Hand,DE,22,Alabama
1986,1,5,STL,Anthony Bell,LB,22,Michigan St.
1986,1,6,NOR,Jim Dombrowski,G,22,Virginia
1986,1,7,KAN,Brian Jozwiak,G,23,West Virginia
1986,1,8,SDG,Leslie O'Neal,DE,22,Oklahoma St.
1986,1,9,PIT,John Rienstra,G,23,Temple
1986,1,10,PHI,Keith Byars,RB,22,Ohio St.
1986,1,11,CIN,Joe Kelly,LB,21,Washington
1986,1,12,DET,Chuck Long,QB,23,Iowa
1986,1,13,SDG,James FitzPatrick,T,22,USC
1986,1,14,MIN,Gerald Robinson,DE,23,Auburn
1986,1,15,SEA,John Williams,FB,21,Florida
1986,1,16,BUF,Ronnie Harmon,RB,22,Iowa
1986,1,17,ATL,Tim Green,LB,22,Syracuse
1986,1,18,DAL,Mike Sherrard,WR,23,UCLA
1986,1,19,NYG,Eric Dorsey,DE,22,Notre Dame
1986,1,20,BUF,Will Wolford,T,22,Vanderbilt
1986,1,21,CIN,Tim McGee,WR,22,Tennessee
1986,1,22,NYJ,Mike Haight,G,23,Iowa
1986,1,23,RAM,Mike Schad,G,22,Queens (Canada)
1986,1,24,RAI,Bob Buczkowski,DE,22,Pittsburgh
1986,1,25,TAM,Rod Jones,DB,22,SMU
1986,1,26,NWE,Reggie Dupard,RB,22,SMU
1986,1,27,CHI,Neal Anderson,RB,22,Florida
1986,2,28,TAM,Jackie Walker,LB,23,Jackson St.
1986,2,29,DET,Garry James,RB,23,LSU
1986,2,30,WAS,Markus Koch,DE,23,Boise St.
1986,2,31,NOR,Dalton Hilliard,RB,22,LSU
1986,2,32,STL,John Lee,K,22,UCLA
1986,2,33,DAL,Darryl Clack,RB,22,Arizona St.
1986,2,34,HOU,Ernest Givins,WR,22,Louisville
1986,2,35,KAN,Dino Hackett,LB,22,Appalachian St.
1986,2,36,PIT,Gerald Williams,NT,22,Auburn
1986,2,37,PHI,Anthony Toney,RB,23,Texas A&M
1986,2,38,CIN,Lewis Billups,DB,22,North Alabama
1986,2,39,SFO,Larry Roberts,DE,23,Alabama
1986,2,40,TAM,Kevin Murphy,LB,22,Oklahoma
1986,2,41,GNB,Kenneth Davis,RB,24,TCU
1986,2,42,NWE,Mike Ruth,NT,22,Boston Col.
1986,2,43,CLE,Webster Slaughter,WR,21,San Diego St.
1986,2,44,NYG,Mark Collins,DB,22,Cal State-Fullerton
1986,2,45,WAS,Walter Murray,WR,23,Hawaii
1986,2,46,NYG,Erik Howard,NT,21,Washington St.
1986,2,47,IND,Jack Trudeau,QB,23,Illinois
1986,2,48,PHI,Alonzo Johnson,LB,23,Florida
1986,2,49,NYJ,Doug Williams,T,23,Texas A&M
1986,2,50,RAM,Tom Newberry,G,23,Wisconsin–LaCrosse
1986,2,51,NYG,Pepper Johnson,LB,22,Ohio St.
1986,2,52,MIA,John Offerdahl,LB,22,West. Michigan
1986,2,53,NYG,Greg Lasker,DB,21,Arkansas
1986,2,54,NWE,Vencie Glenn,DB,21,Indiana St.
1986,2,55,CHI,Vestee Jackson,DB,23,Washington
1986,3,56,SFO,Tom Rathman,RB,23,Nebraska
1986,3,57,NOR,Rueben Mayes,RB,23,Washington St.
1986,3,58,CIN,Jim Skow,DE,23,Nebraska
1986,3,59,STL,Gene Chilton,C,22,Texas
1986,3,60,NOR,Pat Swilling,LB,21,Georgia Tech
1986,3,61,HOU,Allen Pinkett,RB,22,Notre Dame
1986,3,62,NOR,Barry Word,RB,23,Virginia
1986,3,63,KAN,Leonard Griffin,DE,23,Grambling St.
1986,3,64,SFO,Tim McKyer,DB,23,Texas-Arlington
1986,3,65,CIN,Mike Hammerstein,DE,23,Michigan
1986,3,66,SDG,Terry Unrein,NT,23,Colorado St.
1986,3,67,PIT,Bubby Brister,QB,24,La-Monroe
1986,3,68,SEA,Patrick Hunter,DB,21,Nevada
1986,3,69,DET,Joe Milinichik,G,23,North Carolina St.
1986,3,70,SDG,Jeff Walker,T,23,Memphis
1986,3,71,RAM,Hugh Millen,QB,22,Washington
1986,3,72,GNB,Robbie Bosco,QB,"",BYU
1986,3,73,NYG,John Washington,DE,23,Oklahoma St.
1986,3,74,DAL,Mark Walen,DT,23,UCLA
1986,3,75,WAS,Alvin Walton,DB,22,Kansas
1986,3,76,SFO,John Taylor,WR,24,Delaware St.
