1992,Rnd,Pick,Tm,Player,Pos,Age,College/Univ
1992,1,1,IND,Steve Emtman,DE,22,Washington
1992,1,2,IND,Quentin Coryatt,LB,22,Texas A&M
1992,1,3,RAM,Sean Gilbert,DT,22,Pittsburgh
1992,1,4,WAS,Desmond Howard,WR,22,Michigan
1992,1,5,GNB,Terrell Buckley,DB,21,Florida St.
1992,1,6,CIN,David Klingler,QB,23,Houston
1992,1,7,MIA,Troy Vincent,DB,21,Wisconsin
1992,1,8,ATL,Bob Whitfield,T,20,Stanford
1992,1,9,CLE,Tommy Vardell,RB,23,Stanford
1992,1,10,SEA,Ray Roberts,T,23,Virginia
1992,1,11,PIT,Leon Searcy,T,22,Miami (FL)
1992,1,12,MIA,Marco Coleman,DE,22,Georgia Tech
1992,1,13,NWE,Eugene Chung,G,23,Virginia Tech
1992,1,14,NYG,Derek Brown,TE,22,Notre Dame
1992,1,15,NYJ,Johnny Mitchell,TE,21,Nebraska
1992,1,16,RAI,Chester McGlockton,DT,22,Clemson
1992,1,17,DAL,Kevin Smith,DB,22,Texas A&M
1992,1,18,SFO,Dana Hall,DB,23,Washington
1992,1,19,ATL,Tony Smith,RB,22,Southern Miss
1992,1,20,KAN,Dale Carter,DB,22,Tennessee
1992,1,21,NOR,Vaughn Dunbar,RB,24,Indiana
1992,1,22,CHI,Alonzo Spellman,DE,20,Ohio St.
1992,1,23,SDG,Chris Mims,DE,21,Tennessee
1992,1,24,DAL,Robert Jones,LB,22,East Carolina
1992,1,25,DEN,Tommy Maddox,QB,21,UCLA
1992,1,26,DET,Robert Porcher,DE,23,South Carolina St.
1992,1,27,BUF,John Fina,T,23,Arizona
1992,1,28,CIN,Darryl Williams,DB,22,Miami (FL)
1992,2,29,IND,Ashley Ambrose,DB,21,Miss. Valley St.
1992,2,30,RAM,Steve Israel,DB,23,Pittsburgh
1992,2,31,CIN,Carl Pickens,WR,22,Tennessee
1992,2,32,RAI,Greg Skrepenak,T,22,Michigan
1992,2,33,SDG,Marquez Pope,DB,21,Fresno St.
1992,2,34,GNB,Mark D'Onofrio,LB,23,Penn St.
1992,2,35,NWE,Rod Smith,DB,22,Notre Dame
1992,2,36,DAL,Jimmy Smith,WR,23,Jackson St.
1992,2,37,DAL,Darren Woodson,DB,23,Arizona St.
1992,2,38,PIT,Levon Kirkland,LB,23,Clemson
1992,2,39,MIN,Robert Harris,DT,23,Saginaw Valley St.
1992,2,40,KAN,Matt Blundin,QB,23,Virginia
1992,2,41,NYG,Phillippi Sparks,DB,23,Arizona St.
1992,2,42,NYJ,Kurt Barber,LB,23,USC
1992,2,43,MIA,Eddie Blake,DT,"",Auburn
1992,2,44,TAM,Courtney Hawkins,WR,22,Michigan St.
1992,2,45,SFO,Amp Lee,RB,20,Florida St.
1992,2,46,PHO,Tony Sacca,QB,22,Penn St.
1992,2,47,WAS,Shane Collins,DE,23,Arizona St.
1992,2,48,PHI,Siran Stacy,RB,24,Alabama
1992,2,49,CHI,Troy Auzenne,T,23,California
1992,2,50,HOU,Eddie Robinson,LB,22,Alabama St.
1992,2,51,ATL,Chuck Smith,DE,22,Tennessee
1992,2,52,CLE,Patrick Rowe,WR,23,San Diego St.
1992,2,53,DET,Tracy Scroggins,DE,22,Tulsa
1992,2,54,DEN,Shane Dronett,DT,21,Texas
1992,2,55,BUF,James Patton,NT,22,Texas
1992,2,56,DET,Jason Hanson,K,22,Washington St.
1992,3,57,RAM,Marc Boutte,DT,23,LSU
1992,3,58,DAL,Clayton Holmes,DB,23,Carson-Newman
1992,3,59,TAM,Mark Wheeler,DT,22,Texas A&M
1992,3,60,RAM,Todd Kinchen,WR,23,LSU
1992,3,61,PHO,Ed Cunningham,C,23,Washington
1992,3,62,GNB,Robert Brooks,WR,22,South Carolina
1992,3,63,SDG,Ray Ethridge,WR,23,Pasadena CC
1992,3,64,NWE,Todd Collins,LB,22,Carson-Newman
1992,3,65,CLE,Bill Johnson,DT,23,Michigan St.
1992,3,66,SEA,Bob Spitulski,LB,22,Central Florida
1992,3,67,PIT,Joel Steed,NT,23,Colorado
1992,3,68,NYJ,Siupeli Malamala,T,23,Washington
1992,3,69,NYG,Aaron Pierce,TE,23,Washington
1992,3,70,MIA,Larry Webster,DT,23,Maryland
1992,3,71,NWE,Kevin Turner,FB,23,Alabama
1992,3,72,NOR,Tyrone Legette,DB,22,Nebraska
1992,3,73,ATL,Howard Dinkins,LB,23,Florida St.
1992,3,74,WAS,Paul Siever,G,"",Penn St.
1992,3,75,PHI,Tommy Jeter,DT,22,Texas
1992,3,76,SFO,Brian Bollinger,G,23,North Carolina
1992,3,77,HOU,Corey Harris,DB,22,Vanderbilt
1992,3,78,CLE,Gerald Dixon,LB,23,South Carolina
1992,3,79,TAM,Tyji Armstrong,TE,21,Mississippi
1992,3,80,CHI,Jeremy Lincoln,DB,23,Tennessee
