1938,Rnd,Pick,Tm,Player,Pos,Age,College/Univ
1938,1,1,RAM,Corby Davis,BB,23,Indiana
1938,1,2,PHI,Jim McDonald,B,23,Ohio St.
1938,1,3,BKN,Boyd Brumbaugh,B,23,Duquesne
1938,1,4,PIT,Whizzer White,TB,21,Colorado
1938,1,5,CRD,Jack Robbins,TB,22,Arkansas
1938,1,6,DET,Alex Wojciechowicz HOF,C,23,Fordham
1938,1,7,GNB,Cecil Isbell,TB,23,Purdue
1938,1,8,NYG,George Karamatic,FB,21,Gonzaga
1938,1,9,WAS,Andy Farkas,FB,22,Detroit Mercy
1938,1,10,CHI,Joe Gray,B,"",Oregon St.
1938,2,11,RAM,Jim Benton,E,21,Arkansas
1938,2,12,PHI,Dick Riffle,B,23,Albright
1938,2,13,BKN,Joe Kilgrow,B,"",Alabama
1938,2,14,PIT,Frank Filchock,TB,21,Indiana
1938,2,15,CRD,Milt Popovich,B,24,Montana
1938,3,16,RAM,Joe Routt,G,"",Texas A&M
1938,3,17,PHI,Joe Bukant,B,22,Washington (MO)
1938,3,18,BKN,Bruiser Kinard HOF,T,23,Mississippi
1938,3,19,PIT,Red Wolfe,FB,26,Texas
1938,3,20,CRD,Frank Patrick,B,22,Pittsburgh
1938,3,21,DET,Pete Smith,E,"",Oklahoma
1938,3,22,GNB,Marty Schreyer,T,"",Purdue
1938,3,23,NYG,Fred Vanzo,BB,22,Northwestern
1938,3,24,WAS,Sam Chapman,B,"",California
1938,3,25,CHI,Gary Famiglietti,FB,24,Boston Univ.
1938,4,26,RAM,Vic Markov,T,22,Washington
1938,4,27,PHI,John Meek,B,"",California
1938,4,28,BKN,Gene Moore,C,25,Colorado
1938,4,29,PIT,Tony Matisi,T,24,Pittsburgh
1938,4,30,CRD,Bob Herwig,C,"",California
1938,5,31,RAM,Ed Franco,T,23,Fordham
1938,5,32,PHI,Fred Shirey,T,22,Nebraska
1938,5,33,BKN,Ed Merlin,G,22,Vanderbilt
1938,5,34,PIT,Lou Midler,G,23,Minnesota
1938,5,35,CRD,Al Babartsky,T,23,Fordham
1938,5,36,DET,Andy Bershak,E,"",North Carolina
1938,5,37,GNB,Chuck Sweeney,E,"",Notre Dame
1938,5,38,NYG,Marion (Dutch) Konemann,B,"",Georgia Tech
1938,5,39,WAS,Dave Price,C,"",Mississippi St.
1938,5,40,CHI,Gust Zarnas,G,24,Ohio St.
1938,6,41,RAM,Ray Hamilton,E,22,Arkansas
1938,6,42,PHI,Red Ramsey,E,27,Texas Tech
1938,6,43,BKN,Perry Schwartz,E,23,California
1938,6,44,PIT,George Platukis,E,23,Duquesne
1938,6,45,CRD,Joe Brunansky,T,"",Duke
1938,6,46,DET,Karl Schleckman,T,"",Utah
1938,6,47,GNB,Andy Uram,RB,23,Minnesota
1938,6,48,NYG,Frank Souchak,E,23,Pittsburgh
1938,6,49,WAS,Elmer Dohrmann,E,"",Nebraska
1938,6,50,CHI,Bob Masterson,E,23,Miami (FL)
1938,7,51,RAM,Red Chesbro,G,24,Colgate
1938,7,52,PHI,Bob Lannon,E,"",Iowa
1938,7,53,BKN,Leroy Monsky,G,"",Alabama
1938,7,54,PIT,Ray King,E,"",Minnesota
1938,7,55,CRD,Ed Cherry,FB,25,Hardin-Simmons
1938,7,56,DET,Paul Szakash,E,25,Montana
1938,7,57,GNB,Johnny Kovatch,E,26,Northwestern
1938,7,58,NYG,Kelly Moan,TB,25,West Virginia
1938,7,59,WAS,Roy Young,T,21,Texas A&M
1938,7,60,CHI,Frank Ramsey,T,22,Oregon St.
1938,8,61,RAM,Walt (Tiger) Mayberry,B,"",Florida
1938,8,62,PHI,Clem Woltman,T,23,Purdue
1938,8,63,BKN,Len Noyes,G,24,Montana
1938,8,64,PIT,Tom Burnette,BB,23,North Carolina
1938,8,65,CRD,Leon Lavington,E,"",Colorado
1938,8,66,DET,Dick Nardi,B,22,Ohio St.
1938,8,67,GNB,Phil Ragazzo,T,23,Case Western Reserve
1938,8,68,NYG,Ted Doyle,T,24,Nebraska
1938,8,69,WAS,Bill Hartman,B,23,Georgia
1938,8,70,CHI,Fletcher Sims,B,"",Georgia Tech
1938,9,71,RAM,Charles Ream,T,24,Ohio St.
1938,9,72,PHI,Elmer Kolberg,HB,22,Oregon St.
1938,9,73,BKN,John Stringham,B,"",BYU
1938,9,74,PIT,Paul McDonough,E,21,Utah
1938,9,75,CRD,Phil Dougherty,C,25,Santa Clara
1938,9,76,DET,Jim Sirtosky,G,"",Indiana
1938,9,77,GNB,John Howell,HB,22,Nebraska
1938,9,78,NYG,John Mellus,T,21,Villanova
1938,9,79,WAS,Mickey Parks,C,22,Oklahoma
1938,9,80,CHI,Alex Schwarz,T,"",San Francisco
1938,10,81,RAM,Joe Maras,C,22,Duquesne
1938,10,82,PHI,Emmett Kriel,G,22,Baylor
1938,10,83,BKN,Jim Sivell,G,24,Auburn
1938,10,84,PIT,Pat McCarty,C,"",Notre Dame
1938,10,85,CRD,Dwight Sloan,B,24,Arkansas
1938,10,86,DET,Ralph Wolf,C,"",Ohio St.
1938,10,87,GNB,Frank Barnhart,G,"",Northern Colorado
1938,10,88,NYG,Bob Grimstead,T,"",Washington St.
1938,10,89,WAS,Jack Abbitt,B,"",Elon
1938,10,90,CHI,John Weger,T,"",Butler
1938,11,91,RAM,Al Hoptowit,T,23,Washington St.
1938,11,92,PHI,Carl Hinkle,C,"",Vanderbilt
1938,11,93,BKN,Johnny Druze,E,24,Fordham
1938,11,94,PIT,Bill Krause,G,24,Baldwin-Wallace
1938,11,95,CRD,Bob Kenderdine,E,"",Indiana
1938,11,96,DET,Clarence Douglass,B,"",Kansas
1938,11,97,GNB,Pete Tinsley,G,25,Georgia
1938,11,98,NYG,Doug Oldershaw,G,23,California-Santa Barbara
1938,11,99,WAS,Dick Johnston,E,"",Washington
1938,11,100,CHI,Ray Mickovsky,B,"",Case Western Reserve
1938,12,101,RAM,Vic Spadaccini,B,22,Minnesota
1938,12,102,PHI,Johnny Michelosen,B,"",Pittsburgh
1938,12,103,BKN,Lou Mark,C,23,North Carolina St.
1938,12,104,PIT,Joe Kuharich,G,21,Notre Dame
1938,12,105,CRD,Bob Mautner,C,"",Holy Cross
1938,12,106,DET,Clint Frank,B,"",Yale
1938,12,107,GNB,Tony Falkenstein,FB,23,St. Mary's (CA)
1938,12,108,NYG,Elmore Hackney,B,"",Duke
1938,12,109,WAS,Hank Bartos,G,25,North Carolina
1938,12,110,CHI,Fred Dreher,E,25,Denver
