2017,Rnd,Pick,Tm,Player,Pos,Age,Sk
2017,1,1,CLE,Myles Garrett,DE,21,26.5
2017,1,2,CHI,Mitchell Trubisky,QB,23,""
2017,1,3,SFO,Solomon Thomas,DE,21,5.0
2017,1,4,JAX,Leonard Fournette,RB,22,""
2017,1,5,TEN,Corey Davis,WR,22,""
2017,1,6,NYJ,Jamal Adams,S,21,5.5
2017,1,7,LAC,Mike Williams,WR,22,""
2017,1,8,CAR,Christian McCaffrey,RB,21,""
2017,1,9,CIN,John Ross,WR,22,""
2017,1,10,KAN,Patrick Mahomes,QB,21,""
2017,1,11,NOR,Marshon Lattimore,CB,21,""
2017,1,12,HOU,Deshaun Watson,QB,21,""
2017,1,13,ARI,Haason Reddick,LB,22,7.5
2017,1,14,PHI,Derek Barnett,DE,21,8.5
2017,1,15,IND,Malik Hooker,S,21,""
2017,1,16,BAL,Marlon Humphrey,CB,21,""
2017,1,17,WAS,Jonathan Allen,DE,22,9.0
2017,1,18,TEN,Adoree' Jackson,CB,21,""
2017,1,19,TAM,O.J. Howard,TE,22,""
2017,1,20,DEN,Garett Bolles,T,25,""
2017,1,21,DET,Jarrad Davis,LB,21,8.0
2017,1,22,MIA,Charles Harris,OLB,22,3.0
2017,1,23,NYG,Evan Engram,TE,23,""
2017,1,24,OAK,Gareon Conley,CB,22,""
2017,1,25,CLE,Jabrill Peppers,S,21,1.0
2017,1,26,ATL,Takkarist McKinley,DE,21,13.5
2017,1,27,BUF,TreDavious White,CB,22,""
2017,1,28,DAL,Taco Charlton,DE,22,6.0
2017,1,29,CLE,David Njoku,TE,21,""
2017,1,30,PIT,T.J. Watt,OLB,22,22.5
2017,1,31,SFO,Reuben Foster,LB,23,""
2017,1,32,NOR,Ryan Ramczyk,T,23,""
2017,2,33,GNB,Kevin King,CB,22,1.0
2017,2,34,JAX,Cam Robinson,T,21,""
2017,2,35,SEA,Malik McDowell,DT,21,""
2017,2,36,ARI,Budda Baker,S,21,3.0
2017,2,37,BUF,Zay Jones,WR,22,""
2017,2,38,LAC,Forrest Lamp,G,23,""
2017,2,39,NYJ,Marcus Maye,S,24,0.5
2017,2,40,CAR,Curtis Samuel,WR,21,""
2017,2,41,MIN,Dalvin Cook,RB,22,""
