2016,Rnd,Pick,Tm,Player,Pos,Age,Sk
2016,1,1,LAR,Jared Goff,QB,21,""
2016,1,2,PHI,Carson Wentz,QB,23,""
2016,1,3,SDG,Joey Bosa,DE,21,30.5
2016,1,4,DAL,Ezekiel Elliott,RB,21,""
2016,1,5,JAX,Jalen Ramsey,CB,21,""
2016,1,6,BAL,Ronnie Stanley,T,22,""
2016,1,7,SFO,DeForest Buckner,DE,22,23.0
2016,1,8,TEN,Jack Conklin,T,22,""
2016,1,9,CHI,Leonard Floyd,OLB,23,17.5
2016,1,10,NYG,Eli Apple,CB,21,""
2016,1,11,TAM,Vernon Hargreaves,CB,21,""
2016,1,12,NOR,Sheldon Rankins,DT,22,14.0
2016,1,13,MIA,Laremy Tunsil,T,22,""
2016,1,14,OAK,Karl Joseph,S,22,3.0
2016,1,15,CLE,Corey Coleman,WR,22,""
2016,1,16,DET,Taylor Decker,T,23,""
2016,1,17,ATL,Keanu Neal,S,21,""
2016,1,18,IND,Ryan Kelly,C,23,""
2016,1,19,BUF,Shaq Lawson,DE,22,11.0
2016,1,20,NYJ,Darron Lee,OLB,21,4.0
2016,1,21,HOU,Will Fuller,WR,22,""
2016,1,22,WAS,Josh Doctson,WR,23,""
2016,1,23,MIN,Laquon Treadwell,WR,21,""
2016,1,24,CIN,William Jackson,CB,23,1.0
2016,1,25,PIT,Artie Burns,CB,21,""
2016,1,26,DEN,Paxton Lynch,QB,22,""
2016,1,27,GNB,Kenny Clark,DT,20,12.0
2016,1,28,SFO,Joshua Garnett,G,22,""
2016,1,29,ARI,Robert Nkemdiche,DT,21,4.5
2016,1,30,CAR,Vernon Butler,DT,22,3.0
2016,1,31,SEA,Germain Ifedi,G,22,""
2016,2,32,CLE,Emmanuel Ogbah,DE,22,15.0
2016,2,33,TEN,Kevin Dodd,DE,24,1.0
2016,2,34,DAL,Jaylon Smith,OLB,21,6.0
2016,2,35,SDG,Hunter Henry,TE,21,""
2016,2,36,JAX,Myles Jack,OLB,21,5.5
2016,2,37,KAN,Chris Jones,DT,22,26.0
2016,2,38,MIA,Xavien Howard,CB,23,1.0
2016,2,39,TAM,Noah Spence,DE,22,6.5
2016,2,40,NYG,Sterling Shepard,WR,23,""
2016,2,41,BUF,Reggie Ragland,ILB,22,0.5
2016,2,42,BAL,Kamalei Correa,DE,22,3.5
2016,2,43,TEN,Austin Johnson,NT,22,2.5
