1971,Rnd,Pick,Tm,Player,Pos,Age,College/Univ
1971,1,1,NWE,Jim Plunkett,QB,23,Stanford
1971,1,2,NOR,Archie Manning,QB,22,Mississippi
1971,1,3,HOU,Dan Pastorini,QB,22,Santa Clara
1971,1,4,BUF,J.D. Hill,WR,22,Arizona St.
1971,1,5,PHI,Richard Harris,DE,23,Grambling St.
1971,1,6,NYJ,John Riggins HOF,RB,22,Kansas
1971,1,7,ATL,Joe Profit,RB,22,La-Monroe
1971,1,8,PIT,Frank Lewis,WR,24,Grambling St.
1971,1,9,GNB,John Brockington,RB,22,Ohio St.
1971,1,10,RAM,Isiah Robertson,LB,22,Southern
1971,1,11,CHI,Joe Moore,RB,22,Missouri
1971,1,12,DEN,Marv Montgomery,T,23,USC
1971,1,13,SDG,Leon Burns,RB,28,Long Beach St.
1971,1,14,CLE,Clarence Scott,DB,22,Kansas St.
1971,1,15,CIN,Vern Holland,T,23,Tennessee St.
1971,1,16,KAN,Elmo Wright,WR,22,Houston
1971,1,17,STL,Norm Thompson,DB,26,Utah
1971,1,18,NYG,Rocky Thompson,RB,23,West Texas A&M
1971,1,19,OAK,Jack Tatum,DB,22,Ohio St.
1971,1,20,RAM,Jack Youngblood HOF,DE,21,Florida
1971,1,21,DET,Bob Bell,DT,23,Cincinnati
1971,1,22,BAL,Don McCauley,RB,22,North Carolina
1971,1,23,SFO,William Anderson,DB,22,Ohio St.
1971,1,24,MIN,Leo Hayden,RB,23,Ohio St.
1971,1,25,DAL,Tody Smith,DE,22,USC
1971,1,26,BAL,Lenny Dunlap,DB,22,North Texas
1971,2,27,NWE,Julius Adams,DE,23,Texas Southern
1971,2,28,CHI,Jim Harrison,RB,22,Missouri
1971,2,29,BUF,Jan White,TE,22,Ohio St.
1971,2,30,DET,Dave Thompson,T,22,Clemson
1971,2,31,NOR,Sam Holden,T,24,Grambling St.
1971,2,32,NYJ,John Mooring,T,24,Tampa
1971,2,33,ATL,Ken Burrow,WR,23,San Diego St.
1971,2,34,PIT,Jack Ham HOF,LB,22,Penn St.
1971,2,35,DEN,Dwight Harrison,DB,22,Texas A&M-Kingsville
1971,2,36,CHI,Charlie Ford,DB,22,Houston
1971,2,37,SFO,Ernie Janet,G,22,Washington
1971,2,38,WAS,Cotton Speyrer,WR,22,Texas
1971,2,39,KAN,Wilbur Young,DE,22,William Penn
1971,2,40,CLE,Bo Cornell,LB,22,Washington
1971,2,41,CIN,Steve Lawson,G,22,Kansas
1971,2,42,KAN,Scott Lewis,DE,"",Grambling St.
1971,2,43,STL,Dan Dierdorf HOF,T,22,Michigan
1971,2,44,NYG,Wayne Walton,T,22,Abilene Christian
1971,2,45,OAK,Phil Villapiano,LB,22,Bowling Green
1971,2,46,GNB,Virgil Robinson,RB,23,Grambling St.
1971,2,47,MIA,Otto Stowe,WR,22,Iowa St.
1971,2,48,DET,Charlie Weaver,LB,22,USC
1971,2,49,SFO,Joe Orduna,RB,22,Nebraska
1971,2,50,PHI,Henry Allison,G,24,San Diego St.
1971,2,51,DAL,Ike Thomas,DB,23,Bishop
1971,2,52,BAL,Bill Atessis,DE,22,Texas
1971,3,53,BUF,Bruce Jarvis,C,22,Washington
1971,3,54,NOR,Bivian Lee,DB,23,Prairie View
1971,3,55,SFO,Sam Dickerson,WR,"",USC
1971,3,56,HOU,Lynn Dickey,QB,21,Kansas St.
1971,3,57,BUF,Jim Braxton,RB,22,West Virginia
1971,3,58,NYJ,Chris Farasopoulos,DB,22,BYU
1971,3,59,ATL,Leo Hart,QB,22,Duke
1971,3,60,PIT,Steve Davis,RB,22,Delaware St.
1971,3,61,STL,Jim Livesay,WR,"",Richmond
1971,3,62,GNB,Charlie Hall,DB,23,Pittsburgh
1971,3,63,RAM,Dave Elmendorf,DB,22,Texas A&M
1971,3,64,CHI,Tony McGee,DE,22,Bishop
1971,3,65,SDG,Mike Montgomery,RB,22,Kansas St.
1971,3,66,CLE,Paul Staroba,WR,22,Michigan
1971,3,67,CIN,Ken Anderson,QB,22,Augustana (IL)
1971,3,68,CLE,Charlie Hall,LB,22,Houston
1971,3,69,DAL,Sam Scarber,RB,22,New Mexico
1971,3,70,NYG,Ron Hornsby,LB,22,SE Louisiana
1971,3,71,CHI,Bob Newton,G,22,Nebraska
1971,3,72,DET,Al Clark,DB,23,East. Michigan
1971,3,73,OAK,Warren Koegel,C,21,Penn St.
1971,3,74,MIA,Dale Farley,LB,21,West Virginia
1971,3,75,SFO,Willie Parker,C,22,North Texas
1971,3,76,MIN,Eddie Hackett,WR,"",Alcorn St.
1971,3,77,DAL,Bill Gregory,DE,21,Wisconsin
1971,3,78,BAL,Karl Douglas,QB,"",Texas A&M-Kingsville
1971,4,79,DEN,Lyle Alzado,DE,22,Yankton
1971,4,80,DAL,Joe Carter,TE,"",Grambling St.
1971,4,81,HOU,Larron Jackson,G,22,Missouri
1971,4,82,NOR,Carlos Bell,TE,23,Houston
1971,4,83,PHI,Happy Feller,K,22,Texas
1971,4,84,NYJ,Willie Zapalac,LB,23,Texas
1971,4,85,ATL,Mike Potchad,T,"",Pittsburg St.
1971,4,86,PIT,Gerry Mullins,G,22,USC
1971,4,87,DEN,Cleo Johnson,DB,"",Alcorn St.
1971,4,88,NOR,Richard Winther,C,23,Mississippi
1971,4,89,CHI,Jerry Moore,DB,22,Arkansas
1971,4,90,RAM,Steve Worster,RB,"",Texas
1971,4,91,NOR,Dee Martin,DB,22,Kentucky St.
1971,4,92,CLE,Bubba Pena,G,22,Massachusetts
1971,4,93,CIN,Fred Willis,RB,23,Boston Col.
1971,4,94,KAN,David Robinson,TE,"",Jacksonville St.
1971,4,95,STL,Larry Willingham,DB,22,Auburn
1971,4,96,NYG,Dave Tipton,DE,22,Stanford
1971,4,97,OAK,Clarence Davis,RB,22,USC
1971,4,98,NOR,Don Morrison,T,21,Texas-Arlington
1971,4,99,MIA,Joe Theismann,QB,21,Notre Dame
1971,4,100,DET,Larry Woods,DT,23,Tennessee St.
1971,4,101,SFO,Tony Harris,DB,22,Toledo
1971,4,102,MIN,Vince Clements,RB,22,Connecticut
1971,4,103,DAL,Adam Mitchell,T,"",Mississippi
1971,4,104,PIT,Dwight White,DE,22,Texas A&M-Commerce
1971,5,105,NWE,Tim Kelly,LB,"",Notre Dame
1971,5,106,PIT,Larry Brown,T,22,Kansas
1971,5,107,BUF,Donnie Green,T,23,Purdue
1971,5,108,PHI,Tom Shellabarger,T,"",San Diego St.
1971,5,109,HOU,Willie Armstrong,RB,"",Grambling St.
1971,5,110,CIN,Art May,DE,22,Tuskegee
1971,5,111,ATL,Ray Jarvis,WR,22,Norfolk St.
1971,5,112,PIT,Mel Holmes,G,21,North Carolina A&T
1971,5,113,BUF,Tim Beamer,DB,23,Illinois
1971,5,114,SFO,Dean Shaternick,T,"",Kansas St.
1971,5,115,SDG,Bryant Salter,DB,21,Pittsburgh
1971,5,116,GNB,Donnell Smith,DE,22,Saginaw Valley St.
1971,5,117,SDG,Ray White,LB,22,Syracuse
1971,5,118,CLE,Stan Brown,WR,22,Purdue
1971,5,119,SDG,Phil Asack,DE,"",Duke
1971,5,120,KAN,Mike Adamle,RB,21,Northwestern
1971,5,121,STL,Rocky Wallace,LB,"",Missouri
1971,5,122,SFO,George Wells,LB,"",New Mexico St.
1971,5,123,OAK,Bob Moore,TE,22,Stanford
1971,5,124,GNB,Jim Stillwagon,LB,"",Ohio St.
1971,5,125,DET,Pete Newell,G,"",Michigan
1971,5,126,PIT,Ralph Anderson,DB,22,West Texas A&M
1971,5,127,SFO,Marty Huff,LB,22,Michigan
1971,5,128,PIT,Fred Brister,LB,"",Mississippi
1971,5,129,DAL,Ron Kadziel,LB,22,Stanford
1971,5,130,BAL,John Andrews,TE,22,Indiana
1971,6,131,NWE,David Hardt,TE,"",Kentucky
1971,6,132,NOR,Don Moorhead,RB,"",Michigan
1971,6,133,PHI,Jack Smith,DB,23,Troy
1971,6,134,HOU,Willie Alexander,DB,21,Alcorn St.
1971,6,135,CHI,Earl Thomas,WR,22,Houston
1971,6,136,NYJ,Phil Wise,DB,22,Nebraska-Omaha
1971,6,137,ATL,Tom Hayes,DB,25,San Diego St.
1971,6,138,PIT,Craig Hanneman,DE,22,Oregon St.
1971,6,139,DEN,Harold Phillips,DB,"",Michigan St.
1971,6,140,GNB,Scott Hunter,QB,23,Alabama
1971,6,141,WAS,Conway Hayman,G,22,Delaware
1971,6,142,CLE,Doug Dieken,T,22,Illinois
1971,6,143,SDG,Jacob Mayes,RB,"",Tennessee St.
1971,6,144,CLE,Jay Dixon,DE,"",Boston Univ.
1971,6,145,BUF,Bill McKinley,DE,22,Arizona
1971,6,146,KAN,Kerry Reardon,DB,22,Iowa
1971,6,147,STL,Mel Gray,WR,22,Missouri
1971,6,148,ATL,Ray Brown,DB,22,West Texas A&M
1971,6,149,OAK,Greg Slough,LB,23,USC
