1972,Rnd,Pick,Tm,Player,Pos,Age,College/Univ
1972,1,1,BUF,Walt Patulski,DE,22,Notre Dame
1972,1,2,CIN,Sherman White,DE,23,California
1972,1,3,CHI,Lionel Antoine,T,22,Southern Illinois
1972,1,4,STL,Ahmad Rashad,WR,22,Oregon
1972,1,5,DEN,Riley Odoms,TE,22,Houston
1972,1,6,HOU,Greg Sampson,T,21,Stanford
1972,1,7,GNB,Willie Buchanon,DB,21,San Diego St.
1972,1,8,NOR,Royce Smith,G,23,Georgia
1972,1,9,NYJ,Jerome Barkum,TE,22,Jackson St.
1972,1,10,MIN,Jeff Siemon,LB,22,Stanford
1972,1,11,GNB,Jerry Tagge,QB,22,Nebraska
1972,1,12,CHI,Craig Clemons,DB,23,Iowa
1972,1,13,PIT,Franco Harris HOF,RB,22,Penn St.
1972,1,14,PHI,John Reaves,QB,22,Florida
1972,1,15,ATL,Clarence Ellis,DB,22,Notre Dame
1972,1,16,DET,Herb Orvis,DT,25,Colorado
1972,1,17,NYG,Eldridge Small,DB,23,Texas A&M-Kingsville
1972,1,18,CLE,Thom Darden,DB,22,Michigan
1972,1,19,SFO,Terry Beasley,WR,22,Auburn
1972,1,20,NYJ,Michael Taylor,LB,22,Michigan
1972,1,21,OAK,Mike Siani,WR,22,Villanova
1972,1,22,BAL,Tom Drougas,T,22,Oregon
1972,1,23,KAN,Jeff Kinney,RB,22,Nebraska
1972,1,24,NYG,Larry Jacobson,DT,22,Nebraska
1972,1,25,MIA,Mike Kadish,DT,22,Notre Dame
1972,1,26,DAL,Bill Thomas,RB,23,Boston Col.
1972,2,27,BUF,Reggie McKenzie,G,22,Michigan
1972,2,28,SFO,Ralph McGill,DB,22,Tulsa
1972,2,29,CIN,Tommy Casanova,DB,22,LSU
1972,2,30,RAM,Jim Bertelsen,RB,22,Texas
1972,2,31,NOR,Willie Hall,LB,22,USC
1972,2,32,STL,Mark Arneson,LB,22,Arizona
1972,2,33,OAK,Kelvin Korver,DT,23,Texas A&M
1972,2,34,GNB,Chester Marcol,K,22,Hillsdale
1972,2,35,DAL,Robert Newhouse,RB,22,Houston
1972,2,36,SDG,Pete Lazetich,DE,22,Stanford
1972,2,37,PHI,Dan Yochum,T,"",Syracuse
1972,2,38,PIT,Gordon Gravelle,T,23,BYU
1972,2,39,DAL,John Babinecz,LB,22,Villanova
1972,2,40,ATL,Pat Sullivan,QB,22,Auburn
1972,2,41,ATL,Steve Okoniewski,DT,23,Montana
1972,2,42,ATL,Rosie Manning,DT,22,NE State (OK)
1972,2,43,OAK,John Vella,T,22,USC
1972,2,44,SFO,Jean Barrett,T,21,Tulsa
1972,2,45,CLE,Cliff Brooks,DB,23,Tennessee St.
1972,2,46,BAL,Jack Mildren,DB,22,Oklahoma
1972,2,47,BAL,Glenn Doughty,WR,25,Michigan
1972,2,48,BAL,Lydell Mitchell,RB,23,Penn St.
1972,2,49,NWE,Tom Reynolds,WR,23,San Diego St.
1972,2,50,MIN,Ed Marinaro,RB,22,Cornell
1972,2,51,CLE,Lester Sims,DE,"",Alabama
1972,2,52,DAL,Charlie McKee,WR,"",Arizona
1972,3,53,BUF,Fred Swendsen,DE,"",Notre Dame
1972,3,54,CIN,Jim LeClair,LB,21,North Dakota
1972,3,55,NYG,John Mendenhall,DT,23,Grambling St.
1972,3,56,HOU,Lewis Jolley,RB,22,North Carolina
1972,3,57,STL,Tom Beckman,DE,21,Michigan
1972,3,58,DEN,Bill Phillips,LB,"",Arkansas St.
1972,3,59,MIN,Bart Buetow,T,21,Minnesota
