1989,Rnd,Pick,Tm,Player,Pos,Age,College/Univ
1989,1,1,DAL,Troy Aikman HOF,QB,22,UCLA
1989,1,2,GNB,Tony Mandarich,T,22,Michigan St.
1989,1,3,DET,Barry Sanders HOF,RB,21,Oklahoma St.
1989,1,4,KAN,Derrick Thomas HOF,LB,22,Alabama
1989,1,5,ATL,Deion Sanders HOF,DB,22,Florida St.
1989,1,6,TAM,Broderick Thomas,LB,22,Nebraska
1989,1,7,PIT,Tim Worley,RB,22,Georgia
1989,1,8,SDG,Burt Grossman,DE,22,Pittsburgh
1989,1,9,MIA,Sammie Smith,RB,22,Florida St.
1989,1,10,PHO,Eric Hill,LB,22,LSU
1989,1,11,CHI,Donnell Woolford,DB,23,Clemson
1989,1,12,CHI,Trace Armstrong,DE,23,Florida
1989,1,13,CLE,Eric Metcalf,RB,21,Texas
1989,1,14,NYJ,Jeff Lageman,DE,22,Virginia
1989,1,15,SEA,Andy Heck,T,22,Notre Dame
1989,1,16,NWE,Hart Lee Dykes,WR,23,Oklahoma St.
1989,1,17,PHO,Joe Wolf,T,22,Boston Col.
1989,1,18,NYG,Brian Williams,C,23,Minnesota
1989,1,19,NOR,Wayne Martin,DE,23,Arkansas
1989,1,20,DEN,Steve Atwater,DB,22,Arkansas
1989,1,21,RAM,Bill Hawkins,DE,23,Miami (FL)
1989,1,22,IND,Andre Rison,WR,22,Michigan St.
1989,1,23,HOU,David Williams,T,23,Florida
1989,1,24,PIT,Tom Ricketts,G,23,Pittsburgh
1989,1,25,MIA,Louis Oliver,DB,23,Florida
1989,1,26,RAM,Cleveland Gary,RB,23,Miami (FL)
1989,1,27,ATL,Shawn Collins,WR,22,Northern Arizona
1989,1,28,SFO,Keith DeLong,LB,22,Tennessee
1989,2,29,DAL,Steve Wisniewski,G,22,Penn St.
1989,2,30,DET,John Ford,WR,23,Virginia
1989,2,31,CLE,Lawyer Tillman,WR,23,Auburn
1989,2,32,KAN,Mike Elkins,QB,23,Wake Forest
1989,2,33,TAM,Danny Peebles,WR,23,North Carolina St.
1989,2,34,PIT,Carnell Lake,DB,22,UCLA
1989,2,35,CIN,Eric Ball,RB,23,UCLA
1989,2,36,CHI,John Roper,LB,23,Texas A&M
1989,2,37,SDG,Courtney Hall,C,21,Rice
1989,2,38,ATL,Ralph Norwood,T,23,LSU
1989,2,39,DAL,Daryl Johnston,RB,23,Syracuse
1989,2,40,PHO,Walter Reeves,TE,23,Auburn
1989,2,41,DEN,Doug Widell,G,22,Boston Col.
1989,2,42,NYJ,Dennis Byrd,DT,22,Tulsa
1989,2,43,NWE,Eric Coleman,DB,22,Wyoming
1989,2,44,SEA,Joe Tofflemire,C,24,Arizona
1989,2,45,RAM,Frank Stams,LB,24,Notre Dame
1989,2,46,NOR,Robert Massey,DB,22,North Carolina Central
1989,2,47,DEN,Warren Powers,DE,24,Maryland
1989,2,48,RAM,Brian Smith,LB,23,Auburn
1989,2,49,PHI,Jessie Small,LB,22,East. Kentucky
1989,2,50,HOU,Scott Kozak,LB,23,Oregon
1989,2,51,SDG,Billy Joe Tolliver,QB,23,Texas Tech
1989,2,52,MIN,David Braxton,LB,24,Wake Forest
1989,2,53,RAM,Darryl Henley,DB,22,UCLA
1989,2,54,CHI,Dave Zawatson,G,23,California
1989,2,55,CIN,Freddie Childress,G,22,Arkansas
1989,2,56,SFO,Wesley Walls,TE,23,Mississippi
1989,3,57,DAL,Mark Stepnoski,C,22,Pittsburgh
1989,3,58,GNB,Matt Brock,DE,23,Oregon
1989,3,59,DET,Mike Utley,G,23,Washington St.
1989,3,60,KAN,Naz Worthen,WR,23,North Carolina St.
1989,3,61,PIT,Derek Hill,WR,21,Arizona
1989,3,62,ATL,Keith Jones,RB,23,Illinois
1989,3,63,NWE,Marv Cook,TE,23,Iowa
1989,3,64,NYG,Bob Kratch,G,23,Iowa
1989,3,65,CHI,Jerry Fontenot,C,22,Texas A&M
1989,3,66,WAS,Tracy Rocker,DT,23,Auburn
