1994,Rnd,Pick,Tm,Player,Pos,Age,Sk
1994,1,1,CIN,Dan Wilkinson,DT,21,54.5
1994,1,2,IND,Marshall Faulk HOF,RB,21,""
1994,1,3,WAS,Heath Shuler,QB,22,""
1994,1,4,NWE,Willie McGinest,DE,22,86.0
1994,1,5,IND,Trev Alberts,LB,24,4.0
1994,1,6,TAM,Trent Dilfer,QB,22,""
1994,1,7,SFO,Bryant Young,DT,22,89.5
1994,1,8,SEA,Sam Adams,DT,21,44.0
1994,1,9,CLE,Antonio Langham,DB,22,1.0
1994,1,10,ARI,Jamir Miller,LB,20,36.0
1994,1,11,CHI,John Thierry,DE,23,33.5
1994,1,12,NYJ,Aaron Glenn,DB,22,1.0
1994,1,13,NOR,Joe Johnson,DE,22,52.5
1994,1,14,PHI,Bernard Williams,T,22,""
1994,1,15,RAM,Wayne Gandy,T,23,""
1994,1,16,GNB,Aaron Taylor,G,21,""
1994,1,17,PIT,Charles Johnson,WR,22,""
1994,1,18,MIN,Dewayne Washington,DB,21,1.0
1994,1,19,MIN,Todd Steussie,T,23,""
1994,1,20,MIA,Tim Bowens,DT,21,22.0
1994,1,21,DET,Johnnie Morton,WR,22,""
1994,1,22,RAI,Rob Fredrickson,LB,23,15.5
1994,1,23,DAL,Shante Carver,DE,23,11.5
1994,1,24,NYG,Thomas Lewis,WR,22,""
1994,1,25,KAN,Greg Hill,RB,22,""
1994,1,26,HOU,Henry Ford,DT,22,24.0
1994,1,27,BUF,Jeff Burris,DB,22,5.0
1994,1,28,SFO,William Floyd,FB,22,""
1994,1,29,CLE,Derrick Alexander,WR,22,""
1994,2,30,CIN,Darnay Scott,WR,22,""
1994,2,31,WAS,Tre' Johnson,G,23,""
1994,2,32,IND,Eric Mahlum,G,23,""
1994,2,33,RAM,Isaac Bruce,WR,21,""
1994,2,34,TAM,Errict Rhett,RB,23,""
1994,2,35,NWE,Kevin Lee,WR,23,""
1994,2,36,SEA,Kevin Mawae HOF,C,23,""
1994,2,37,PHI,Bruce Walker,NT,22,""
1994,2,38,ARI,Chuck Levy,RB,22,""
1994,2,39,CHI,Marcus Spears,T,22,""
1994,2,40,MIN,David Palmer,WR,21,""
1994,2,41,NYJ,Ryan Yarborough,WR,23,""
1994,2,42,PHI,Charlie Garner,RB,22,""
1994,2,43,SDG,Isaac Davis,G,22,""
1994,2,44,NOR,Mario Bates,RB,21,""
1994,2,45,ATL,Bert Emanuel,WR,23,""
1994,2,46,DAL,Larry Allen HOF,G,22,""
1994,2,47,NYG,Thomas Randolph,DB,23,""
1994,2,48,BUF,Bucky Brooks,DB,23,""
1994,2,49,RAM,Toby Wright,DB,23,2.0
1994,2,50,PIT,Brentson Buckner,DT,22,31.0
1994,2,51,DEN,Allen Aldridge,LB,22,10.5
1994,2,52,RAI,James Folston,LB,23,3.0
1994,2,53,SFO,Kevin Mitchell,LB,23,6.5
1994,2,54,MIA,Aubrey Beavers,LB,23,""
1994,2,55,MIN,Fernando Smith,DE,23,20.0
1994,2,56,RAM,Brad Ottis,DE,22,4.0
1994,2,57,DET,Van Malone,DB,24,""
1994,2,58,KAN,Donnell Bennett,RB,21,""
1994,2,59,NYG,Jason Sehorn,DB,23,5.5
1994,2,60,HOU,Jeremy Nunley,DE,22,""
1994,2,61,BUF,Lonnie Johnson,TE,23,""
1994,2,62,SFO,Tyronne Drakeford,DB,23,3.0
1994,2,63,SDG,Vaughn Parker,T,23,""
1994,2,64,BUF,Sam Rogers,LB,24,30.0
1994,2,65,MIA,Tim Ruddy,C,22,""
1994,3,66,CIN,Jeff Cothran,FB,23,""
1994,3,67,IND,Jason Mathews,T,23,""
1994,3,68,WAS,Tydus Winans,WR,22,""
1994,3,69,TAM,Harold Bishop,TE,24,""
1994,3,70,SDG,Andre Coleman,WR,21,""
1994,3,71,RAM,Keith Lyle,DB,22,5.0
1994,3,72,ATL,Anthony Phillips,DB,23,""
1994,3,73,SEA,Lamar Smith,RB,23,""
1994,3,74,CHI,Jim Flanigan,DT,23,46.0
1994,3,75,CLE,Romeo Bandison,DT,23,""
1994,3,76,ARI,Rich Braham,C,23,""
1994,3,77,PHI,Joe Panos,G,23,""
1994,3,78,NWE,Ervin Collier,DT,"",""
1994,3,79,NOR,Winfred Tubbs,LB,23,10.5
1994,3,80,RAI,Calvin Jones,RB,23,""
1994,3,81,BUF,Marlo Perry,LB,22,1.5
1994,3,82,SDG,Willie Clark,DB,22,""
1994,3,83,RAM,James Bostic,RB,22,""
1994,3,84,GNB,LeShon Johnson,RB,23,""
1994,3,85,SFO,Doug Brien,K,23,""
1994,3,86,CIN,Steve Shine,LB,"",""
1994,3,87,SFO,Cory Fleming,WR,23,""
1994,3,88,PIT,Jason Gildon,LB,22,80.0
1994,3,89,ARI,Eric England,DE,23,""
1994,3,90,NWE,Joe Burch,C,"",""
1994,3,91,PIT,Bam Morris,RB,22,""
1994,3,92,KAN,Lake Dawson,WR,22,""
1994,3,93,DET,Shane Bonham,DT,23,4.0
1994,3,94,NYJ,Lou Benfatti,DT,23,""
1994,3,95,NYG,Gary Downs,RB,22,""
1994,3,96,KAN,Chris Penn,WR,23,""
1994,3,97,WAS,Joe Patton,T,22,""
1994,3,98,BUF,Corey Louchiey,T,22,""
1994,3,99,ATL,Alai Kalaniuvalu,G,"",""
1994,3,100,RAM,Ernest Jones,DT,23,3.5
1994,3,101,HOU,Malcolm Floyd,WR,21,""
1994,3,102,DAL,George Hegamin,T,21,""
1994,3,103,PHI,Eric Zomalt,DB,22,""
1994,4,104,CIN,Corey Sawyer,DB,22,3.5
1994,4,105,WAS,Kurt Haws,TE,24,""
1994,4,106,IND,Bradford Banta,TE,23,""
1994,4,107,ARI,Perry Carter,DB,23,""
1994,4,108,RAM,Chris Brantley,WR,23,""
1994,4,109,DAL,Willie Jackson,WR,23,""
1994,4,110,SEA,Larry Whigham,DB,22,5.0
1994,4,111,ATL,Perry Klein,QB,23,""
1994,4,112,MIA,Ronnie Woolfork,LB,"",""
