1981,Rnd,Pick,Tm,Player,Pos,Age,College/Univ
1981,1,1,NOR,George Rogers,RB,22,South Carolina
1981,1,2,NYG,Lawrence Taylor HOF,LB,22,North Carolina
1981,1,3,NYJ,Freeman McNeil,RB,22,UCLA
1981,1,4,SEA,Kenny Easley HOF,DB,22,UCLA
1981,1,5,STL,E.J. Junior,LB,21,Alabama
1981,1,6,GNB,Rich Campbell,QB,22,California
1981,1,7,TAM,Hugh Green,LB,22,Pittsburgh
1981,1,8,SFO,Ronnie Lott HOF,DB,22,USC
1981,1,9,RAM,Mel Owens,LB,22,Michigan
1981,1,10,CIN,David Verser,WR,23,Kansas
1981,1,11,CHI,Keith Van Horne,T,23,USC
1981,1,12,BAL,Randy McMillan,RB,22,Pittsburgh
1981,1,13,MIA,David Overstreet,RB,22,Oklahoma
1981,1,14,KAN,Willie Scott,TE,22,South Carolina
1981,1,15,DEN,Dennis Smith,DB,22,USC
1981,1,16,DET,Mark Nichols,WR,21,San Jose St.
1981,1,17,PIT,Keith Gary,DE,21,Oklahoma
1981,1,18,BAL,Donnell Thompson,DE,22,North Carolina
1981,1,19,NWE,Brian Holloway,T,22,Stanford
1981,1,20,WAS,Mark May,G,21,Pittsburgh
1981,1,21,OAK,Ted Watts,DB,23,Texas Tech
1981,1,22,CLE,Hanford Dixon,DB,22,Southern Miss
1981,1,23,OAK,Curt Marsh,G,22,Washington
1981,1,24,SDG,James Brooks,RB,22,Auburn
1981,1,25,ATL,Bobby Butler,DB,22,Florida St.
1981,1,26,DAL,Howard Richards,G,22,Missouri
1981,1,27,PHI,Leonard Mitchell,T,22,Houston
1981,1,28,BUF,Booker Moore,RB,22,Penn St.
1981,2,29,NOR,Russell Gary,DB,22,Nebraska
1981,2,30,NYJ,Marion Barber,RB,21,Minnesota
1981,2,31,SEA,David Hughes,RB,22,Boise St.
1981,2,32,NYG,Dave Young,TE,22,Purdue
1981,2,33,STL,Neil Lomax,QB,22,Portland St.
1981,2,34,TAM,James Wilder,RB,23,Missouri
1981,2,35,GNB,Gary Lewis,TE,22,Texas-Arlington
1981,2,36,SFO,John Harty,NT,22,Iowa
1981,2,37,CIN,Cris Collinsworth,WR,22,Florida
1981,2,38,CHI,Mike Singletary HOF,LB,22,Baylor
1981,2,39,MIN,Mardye McDole,WR,22,Mississippi St.
1981,2,40,SFO,Eric Wright,DB,22,Missouri
1981,2,41,KAN,Joe Delaney,RB,22,NW State (LA)
1981,2,42,DEN,Clay Brown,TE,22,BYU
1981,2,43,RAM,Jim Collins,LB,23,Syracuse
1981,2,44,PIT,Anthony Washington,DB,23,Fresno St.
1981,2,45,MIN,Robin Sendlein,LB,22,Texas
1981,2,46,DET,Curtis Green,DE,24,Alabama St.
1981,2,47,NWE,Tony Collins,RB,22,East Carolina
