1948,Rnd,Pick,Tm,Player,Pos,Age,College/Univ
1948,1,1,WAS,Harry Gilmer,QB,22,Alabama
1948,1,2,NYG,Skippy Minisi,HB,21,Pennsylvania
1948,1,3,CHI,Bobby Layne HOF,QB,21,Texas
1948,1,4,WAS,Lowell Tew,FB,21,Alabama
1948,1,5,BOS,Vaughn Mancha,C,26,Alabama
1948,1,6,DET,Y.A. Tittle HOF,QB,21,LSU
1948,1,7,GNB,Jug Girard,E,21,Wisconsin
1948,1,8,PHI,Clyde Scott,HB,24,Arkansas
1948,1,9,PIT,Dan Edwards,E,22,Georgia
1948,1,10,CHI,Max Bumgardner,DE,25,Texas
1948,1,11,CRD,Jim Spavital,FB,21,Oklahoma St.
1948,2,12,NYG,Joe Scott,HB,22,San Francisco
1948,2,13,DET,George Quist,B,"",Stanford
1948,3,14,BOS,John Nolan,T,22,Penn St.
1948,3,15,DET,Les Bingaman,DG,22,Illinois
1948,3,16,WAS,Tommy Thompson,LB,21,William & Mary
1948,3,18,RAM,Tom Keane,DB,22,West Virginia
1948,3,19,GNB,Ed Smith,HB,25,Texas-El Paso
1948,3,20,PIT,Jerry Nuzum,HB,25,New Mexico St.
1948,3,21,CHI,Dub Garrett,G,23,Mississippi St.
1948,3,22,PHI,Paul Campbell,QB,"",Texas
1948,3,23,CRD,Bill Smith,T,21,North Carolina
1948,4,24,NYG,Bruce Gehrke,E,23,Columbia
1948,4,25,DET,Jim Minor,T,"",Arkansas
1948,5,26,NYG,Johnny Wolosky,C,"",Penn St.
1948,5,27,GNB,Don Richards,T,"",Arkansas
1948,5,28,WAS,Dan Sandifer,DB,21,LSU
1948,5,29,BOS,Bill Healey,G,"",Georgia Tech
1948,5,30,RAM,Bruce Bailey,B,"",Virginia
1948,5,31,GNB,Weyman Sellers,E,"",Georgia
1948,5,32,CHI,Knox Ramsey,G,22,William & Mary
1948,5,33,PHI,Jack Myers,FB,23,UCLA
1948,5,34,PIT,John Wozniak,G,27,Alabama
1948,5,35,CRD,Jay Smith,E,"",Southern Miss
1948,6,36,NYG,Bill Erickson,G,26,Mississippi
1948,6,37,DET,Bob Williamson,T,"",Hobart
1948,6,38,WAS,Jack Weisenburger,B,"",Michigan
1948,6,39,BOS,Phil Slosburg,B,21,Temple
1948,6,40,RAM,George Grimes,DB,26,Virginia
1948,6,41,GNB,Larry Olsonoski,G,22,Minnesota
1948,6,42,PHI,Howard Duncan,C,23,Ohio St.
1948,6,43,PIT,Joe Gasparella,BB,21,Notre Dame
1948,6,44,CHI,Bob Brugge,B,"",Ohio St.
1948,7,46,NYG,Bob Pfohl,B,22,Purdue
1948,7,47,DET,Fred Enke,QB,23,Arizona
1948,7,48,WAS,Jack Kurkowski,B,"",Detroit Mercy
1948,7,49,RAM,Gene Ruszkowski,T,"",Ohio
1948,7,50,RAM,Noel Cudd,T,"",West Texas A&M
1948,7,51,GNB,Jay Rhodemyre,C,25,Kentucky
1948,7,52,PIT,Bill Luongo,B,"",Pennsylvania
1948,7,53,DET,Moroni Schwab,T,"",Utah St.
1948,7,54,PHI,Buddy Tinsley,T,24,Baylor
1948,7,55,CRD,Jim Cason,DB,21,LSU
1948,8,56,NYG,Ralph Hutchinson,T,24,Tenn-Chattanooga
1948,8,57,NYG,Ray Coates,HB,24,LSU
1948,8,58,WAS,Jerry Cady,T,"",Gustavus Adolphus
1948,8,59,BOS,Robert (Tex) Furse,B,"",Yale
1948,8,60,RAM,Bob Walker,B,"",Colorado Mines
1948,8,61,GNB,Bob Cunz,T,"",Illinois
1948,8,62,CHI,Shorty McWilliams,DB,22,Army
1948,8,63,PHI,Martin Wendell,G,21,Notre Dame
1948,8,64,PIT,Jim Cooper,C,24,North Texas
1948,8,65,CRD,Jim Camp,QB,24,North Carolina
1948,9,66,NYG,Dick Ottele,BB,21,Washington
1948,9,67,DET,Don Doll,DB,22,USC
1948,9,68,WAS,Bob Anderson,B,"",Stanford
1948,9,69,BOS,Jim Burton,E,"",Wesleyan
1948,9,70,RAM,Mike Graham,B,25,Cincinnati
1948,9,71,NYG,Ken Wiltgen,E,"",Northwestern
1948,9,72,PHI,Scott Beasley,E,"",Nevada
1948,9,73,PIT,Ed Ryan,E,22,British Columbia
1948,9,74,CHI,Malachi Mills,T,"",VMI
1948,9,75,NYG,Ed Royston,G,24,Wake Forest
1948,10,76,NYG,Stan Magdziak,B,"",William & Mary
1948,10,77,DET,Paul Cleary,E,26,USC
1948,10,78,WAS,Mike Katrishen,G,26,Southern Miss
1948,10,79,BOS,Bob Forbes,B,"",Florida
1948,10,80,RAM,Glenn Johnson,T,26,Arizona St.
1948,10,81,GNB,George Walmsley,B,"",Rice
1948,10,82,PIT,Dick Deranek,B,"",Indiana
1948,10,83,CHI,Dick Flanagan,LB,21,Ohio St.
1948,10,84,PHI,Ray Richeson,G,24,Alabama
1948,10,85,CRD,Carl Weisner,E,"",St. Louis
1948,11,86,NYG,Pete Lanzi,E,"",Youngstown St.
1948,11,87,DET,Fred Land,T,23,LSU
1948,11,88,WAS,Ed Marshall,T,"",Pennsylvania
1948,11,89,BOS,George Roman,T,22,Case Western Reserve
1948,11,90,RAM,Johnny Zisch,E,"",Colorado
1948,11,91,GNB,Bob Hodges,T,"",Bradley
1948,11,92,CHI,Jim McDowell,G,"",William & Mary
1948,11,93,PHI,Gil Johnson,QB,24,SMU
1948,11,94,PIT,Paul Redfield,T,"",Colgate
1948,11,95,CRD,Gene Corum,G,"",West Virginia
1948,12,96,NYG,Len Modzeleski,T,"",Scranton
1948,12,97,NYG,Jim Brieske,C,"",Michigan
1948,12,98,WAS,Ted Andrus,G,"",Louisiana
1948,12,99,BOS,Ab Wimberly,DE,22,LSU
1948,12,100,RAM,Atherton (Pinky) Phleger,T,"",Stanford
1948,12,101,GNB,Bob Rennebohm,E,"",Wisconsin
1948,12,102,PHI,Bill Wyman,T,"",Rice
1948,12,103,PIT,George Papach,FB,23,Purdue
1948,12,104,CHI,Mel Sheehan,E,"",Missouri
1948,12,105,CRD,Clarence Self,DB,22,Wisconsin
1948,13,106,NYG,Bob Hatch,B,"",Boston Univ.
1948,13,107,DET,Russ Steger,B,"",Illinois
1948,13,108,WAS,Carl Russ,B,"",Rice
1948,13,109,BOS,Bob Jensen,DE,22,Iowa St.
1948,13,110,RAM,Bob Heck,DE,23,Purdue
1948,13,111,GNB,Perry Moss,QB,22,Illinois
1948,13,112,PIT,Tom Finical,E,"",Princeton
1948,13,113,CHI,Dick Scott,C,"",Navy
1948,13,114,PHI,Jim Walthall,B,"",West Virginia
1948,13,115,CRD,John Hollar,FB,26,Appalachian St.
1948,14,116,NYG,John Hanzel,G,"",Guilford
1948,14,117,DET,Hal Enstice,B,"",""
1948,14,118,WAS,Chick Jagade,FB,21,Indiana
1948,14,119,BOS,Hal (Bus) Entsminger,B,"",Missouri
1948,14,120,RAM,Bill Schroll,LB,22,LSU
1948,14,121,GNB,Fred Provo,HB,26,Washington
1948,14,122,CHI,Ollie Cline,FB,22,Ohio St.
1948,14,123,PHI,Dick Kempthorn,B,"",Michigan
1948,14,124,PIT,Clayton Lane,T,25,New Hampshire
1948,14,125,CRD,Bob Hanlon,HB,24,Loras
1948,15,126,NYG,Dan Garza,E,24,Oregon
1948,15,127,DET,Pete Elliott,B,"",Michigan
1948,15,128,WAS,Ed Quirk,FB,23,Missouri
1948,15,129,BOS,Carmen Ragonese,B,"",New Hampshire
1948,15,130,RAM,Bob DeMent,T,"",Southern Miss
1948,15,131,GNB,Lou Agase,T,"",Illinois
1948,15,132,PHI,Dick Rifenburg,E,22,Michigan
1948,15,133,PIT,Dick Mazuca,G,"",Canisius
1948,15,134,CHI,Rob Goode,B,"",Texas A&M
1948,15,135,CRD,George Petrovich,G,22,Texas
1948,16,136,NYG,Dan Yovetich,E,"",Montana St.
1948,16,137,DET,Dave Templeton,G,"",Ohio St.
1948,16,138,WAS,Art Pollard,B,"",Arizona
1948,16,139,BOS,George Ratterman,QB,21,Notre Dame
1948,16,140,RAM,Charley Schoenherr,B,"",Wheaton
1948,16,141,GNB,Travis Raven,B,"",Texas
1948,16,142,PIT,Bill McPeak,DE,22,Pittsburgh
1948,16,143,CHI,Clyde Grimenstein,E,"",Purdue
1948,16,144,PHI,Don Stanton,T,"",Oregon
1948,16,145,CRD,Jim Still,B,24,Georgia Tech
1948,17,146,NYG,Joe Grothus,G,"",Iowa
1948,17,147,DET,Quentin Sickels,G,"",Michigan
1948,17,148,WAS,Chuck Newman,E,"",Louisiana Tech
1948,17,149,BOS,Nute Trotter,T,"",Oklahoma
1948,17,150,RAM,Larry Brink,DE,24,Northern Illinois
1948,17,151,WAS,Dale Schwartzkopf,E,"",Texas
1948,17,152,CHI,John Fallon,G,"",Notre Dame
1948,17,153,PHI,Ralph Kohl,T,"",Michigan
1948,17,154,PIT,Frank Messoline,B,"",Scranton
1948,17,155,CRD,Clay Davis,C,"",Oklahoma St.
1948,18,156,NYG,George Mathews,B,"",Georgia Tech
1948,18,157,DET,Jim Spruill,T,25,Rice
1948,18,158,WAS,Ray Pearcy,C,"",Oklahoma
1948,18,159,BOS,Jack Mendel,E,"",Canisius
1948,18,160,RAM,Bill O'Connor,E,22,Notre Dame
1948,18,161,GNB,Ken Balge,E,"",Michigan St.
1948,18,162,PHI,Aubrey Fowler,HB,28,Arkansas
1948,18,163,PIT,Tom Lane,T,"",Muhlenberg
1948,18,164,CHI,Ray Brown,B,"",Virginia
1948,18,165,CRD,Harry Caughron,T,"",William & Mary
1948,19,166,NYG,Don Ettinger,LB,25,Kansas
1948,19,167,DET,Barney Hafen,DE,26,Utah
1948,19,168,WAS,Gene Vellela,T,"",Scranton
1948,19,169,BOS,Mel Jowell,G,"",McMurry
1948,19,170,RAM,Bill Nelson,B,"",Montana St.
1948,19,171,GNB,Charley Tatom,T,"",Texas
1948,19,172,PIT,Pete Barbolak,T,22,Purdue
1948,19,173,CHI,Bob Hileman,C,"",California
1948,19,174,PHI,Rudy Krall,B,"",New Mexico
1948,19,175,CRD,Jerry Davis,DB,24,SE Louisiana
1948,20,176,NYG,Frank Williams,FB,26,Utah St.
1948,20,177,DET,Aldo Dellosobelle,T,"",Loyola Marymount
1948,20,178,WAS,Cloyce Box,E,25,West Texas A&M
1948,20,179,BOS,Frank Nelson,B,25,Utah
1948,20,180,RAM,Jim Rees,T,"",North Carolina St.
1948,20,181,GNB,Floyd Thomas,C,"",Arkansas
1948,20,182,CHI,Thurman Gay,T,"",Oklahoma St.
1948,20,183,PHI,Ed Claunch,C,"",LSU
1948,20,184,PIT,Fred Folger,B,"",Duke
1948,20,185,CRD,Gene Dwyer,E,"",St. Ambrose
1948,21,186,NYG,Dick Woodard,LB,22,Iowa
1948,21,187,DET,Dean Dill,B,"",USC
1948,21,188,WAS,Bryan Bell,B,"",Washington & Lee
1948,21,189,BOS,Jim Lukens,E,24,Washington & Lee
1948,21,190,RAM,Ray Borneman,B,"",Texas
1948,21,191,GNB,Herb St. John,G,22,Georgia
1948,21,192,PHI,Negley Norton,T,"",Penn St.
1948,21,193,PIT,Charley Snyder,T,"",Marshall
1948,21,194,CHI,Ralph (Peppy) Blount,E,"",Texas
1948,21,195,CRD,Harry Waters,B,"",Colorado Col.
