1949,Rnd,Pick,Tm,Player,Pos,Age,College/Univ
1949,1,1,PHI,Chuck Bednarik HOF,LB,24,Pennsylvania
1949,1,2,DET,John Rauch,QB,22,Georgia
1949,1,3,NYY,Doak Walker HOF,HB,22,SMU
1949,1,4,NYG,Paul Page,HB,21,SMU
1949,1,5,GNB,Stan Heath,QB,22,Nevada
1949,1,6,PIT,Bob Gage,DB,21,Clemson
1949,1,7,RAM,Bobby Thomason,QB,21,VMI
1949,1,8,WAS,Rob Goode,B,22,Texas A&M
1949,1,9,PHI,Frank Tripucka,QB,21,Notre Dame
1949,1,10,CRD,Bill Fischer,T,22,Notre Dame
1949,1,11,CHI,Dick Harris,C,"",Texas
1949,2,12,DET,John Panelli,LB,23,Notre Dame
1949,2,13,NYY,Bob DeMoss,QB,22,Purdue
1949,2,14,NYG,Al DeRogatis,DT,22,Duke
1949,2,15,GNB,Dan Dworsky,LB,21,Michigan
1949,2,16,PIT,Harper Davis,DB,23,Mississippi St.
1949,2,17,RAM,George Sims,DB,21,Baylor
1949,2,18,WAS,Laurie Niemi,T,24,Washington St.
1949,2,19,PHI,Frank Burns,B,"",Rutgers
1949,2,20,CHI,Billy Grimes,HB,22,Oklahoma St.
1949,2,21,CRD,Dick McKissack,B,"",SMU
1949,3,22,DET,Lou Kusserow,LB,22,Columbia
1949,3,23,NYY,Phil Colella,B,"",St. Bonaventure
1949,3,24,NYG,Bill Olson,B,"",Columbia
1949,3,25,GNB,Lou Ferry,DT,21,Villanova
1949,3,26,PIT,Bill Walsh,C,21,Notre Dame
1949,3,27,RAM,Jim Winkler,DT,22,Texas A&M
1949,3,28,WAS,Len Szafaryn,T,21,North Carolina
1949,3,29,PHI,Frank Ziegler,HB,25,Georgia Tech
1949,3,30,NYY,Lynn Chewning,B,"",Hampden-Sydney
1949,3,31,CHI,Red O'Quinn,DB,24,Wake Forest
1949,4,32,DET,Joe Sullivan,B,"",Dartmouth
1949,4,33,NYY,Huey Keeney,B,"",Rice
1949,4,34,GNB,Bob Summerhays,LB,22,Utah
1949,4,35,NYG,Bill Kay,T,"",Iowa
1949,4,36,PIT,Joe Geri,TB,24,Georgia
1949,4,37,RAM,Norm Van Brocklin HOF,QB,23,Oregon
1949,4,38,WAS,Mike DeNoia,B,"",Scranton
1949,4,39,CHI,Ben Bendrick,B,"",Wisconsin
1949,4,40,CRD,John Goldsberry,DT,22,Indiana
1949,4,41,PHI,Don Panciera,QB,22,San Francisco
1949,5,42,DET,George Brodnax,E,"",Georgia Tech
1949,5,43,GNB,Glenn Lewis,B,"",Texas Tech
1949,5,44,NYY,Mike Boyda,LB,27,Washington & Lee
1949,5,45,PIT,Bill Long,E,22,Oklahoma St.
1949,5,46,NYG,J.D. Cheek,G,"",Oklahoma St.
1949,5,47,RAM,Earl Howell,HB,25,Mississippi
1949,5,48,WAS,Ed Berrang,DE,26,Villanova
1949,5,49,CHI,John Hoffman,HB,23,Arkansas
1949,5,50,CRD,Tom Wham,DE,24,Furman
1949,5,51,PHI,Terry Brennan,B,"",Notre Dame
1949,6,52,DET,Bob Meinert,B,"",Oklahoma St.
1949,6,53,NYY,Rip Collins,HB,22,LSU
1949,6,54,GNB,Joe Ethridge,TE,21,SMU
1949,6,55,NYG,Abe Gibron,G,23,Purdue
1949,6,56,PIT,Doug Brightwell,C,"",TCU
1949,6,57,RAM,Charles Reynolds,B,"",Texas Tech
1949,6,58,PHI,Warren Huey,E,"",Michigan St.
1949,6,59,CHI,Gerry Krall,DB,22,Ohio St.
1949,6,60,CRD,Bernie Hanula,T,"",Wake Forest
1949,6,61,NYY,Sam Tamburo,DE,23,Penn St.
1949,7,62,CRD,Myrl Greathouse,B,"",Oklahoma
1949,7,63,RAM,Jerry Williams,DB,25,Washington St.
1949,7,64,NYY,Pete Wismann,LB,25,St. Louis
1949,7,65,PIT,Bill Talarico,B,"",Pennsylvania
1949,7,66,NYG,Frank LoVuolo,E,25,St. Bonaventure
1949,7,67,RAM,Jon Baker,DG,26,California
1949,7,68,WAS,Chet Fritz,G,"",Missouri
1949,7,69,CHI,Wally (Wah-Wah) Jones,E,"",Kentucky
1949,7,70,CRD,Jim Cain,DE,21,Alabama
1949,7,71,PHI,Frank Gillespie,G,"",Clemson
1949,8,72,CHI,Bones Weatherly,LB,20,Rice
1949,8,73,NYY,Mike Rubish,E,"",North Carolina
1949,8,74,GNB,Dan Orlich,DE,24,UNLV
1949,8,75,NYG,Jack Salscheider,HB,24,St. Thomas
1949,8,76,PIT,George Brown,G,25,TCU
1949,8,77,RAM,John Waldrum,G,"",Sul Ross St.
1949,8,78,WAS,Bob Kennedy,DB,20,North Carolina
1949,8,79,CHI,Bill Wightkin,T,22,Notre Dame
1949,8,80,CRD,Joe E Brown,B,"",Georgia Tech
1949,8,81,PHI,Bob Dean,B,"",Cornell
1949,9,82,DET,Chuck Drazenovich,LB,22,Penn St.
1949,9,83,GNB,Everett Faunce,B,"",Minnesota
1949,9,84,NYY,Bernie Craig,T,"",Denver
1949,9,85,PIT,Tom Brennan,T,"",Boston Col.
1949,9,86,NYG,Joe Soboleski,G,23,Michigan
1949,9,87,RAM,Johnny Smith,E,"",Arizona
1949,9,88,WAS,Ed McNeil,E,"",Michigan
1949,9,89,CHI,Dolph Tokarczyk,G,"",Pennsylvania
1949,9,90,CRD,Hal Herring,LB,25,Auburn
1949,9,91,PHI,Jon Jenkins,T,23,Dartmouth
1949,10,92,DET,Bill Davis,G,"",Duke
1949,10,93,NYY,John Geary,T,"",Wesleyan
1949,10,94,RAM,George Buksar,LB,23,San Francisco
1949,10,95,NYG,Gene Rossides,B,"",Columbia
1949,10,96,PIT,Bob Hood,E,"",Alabama
1949,10,97,RAM,Max Minnich,B,"",Bowling Green
1949,10,98,WAS,Vic Vasicek,LB,23,Texas
1949,10,99,CHI,Lee Malley,B,"",Vanderbilt
1949,10,100,CRD,Robert Hecker,DB,24,Baldwin-Wallace
1949,10,101,PHI,Roy Lester,E,"",West Virginia
1949,11,102,DET,Ernie Settembre,T,"",Miami (FL)
1949,11,103,GNB,Harry Larche,T,"",Arkansas St.
1949,11,104,NYY,Edo Mencotti,B,"",Detroit Mercy
1949,11,105,PIT,Al Sanders,C,"",Southern Miss
1949,11,106,NYG,Dick Hensley,E,21,Kentucky
1949,11,107,RAM,Jim Cozad,T,"",Iowa
1949,11,108,WAS,Homer Hobbs,G,26,Georgia
1949,11,109,CHI,Jerry Tiblier,B,"",Mississippi
1949,11,110,CRD,Stan Flowers,E,"",Redlands
1949,11,111,PHI,Bobby Wilson,B,"",Mississippi
1949,12,112,DET,Virgil Boteler,C,"",New Mexico
1949,12,113,NYY,Mornane Maenhout,E,"",""
1949,12,114,GNB,Rebel Steiner,DB,22,Alabama
1949,12,115,NYG,George Sundheim,B,"",Northwestern
1949,12,116,PIT,Jim Finks HOF,QB,22,Tulsa
1949,12,117,RAM,Bill Renna,C,"",Santa Clara
1949,12,118,WAS,Harry Varner,T,"",Arizona
1949,12,119,CHI,George Blanda HOF,QB,21,Kentucky
1949,12,120,CRD,Billy Stone,HB,23,Bradley
1949,12,121,PHI,Dale Armstrong,E,"",Dartmouth
1949,13,122,DET,Al Russas,T,26,Tennessee
1949,13,123,GNB,Al Mastrangeli,C,"",Illinois
1949,13,124,NYY,Jim Dieckelman,E,"",Holy Cross
1949,13,125,PIT,R.R. Walston,G,"",North Texas
