2014,Rnd,Pick,Tm,Player,Pos,Age,Sk
2014,1,1,HOU,Jadeveon Clowney,DE,21,30.0
2014,1,2,STL,Greg Robinson,T,21,""
2014,1,3,JAX,Blake Bortles,QB,22,""
2014,1,4,BUF,Sammy Watkins,WR,21,""
2014,1,5,OAK,Khalil Mack,LB,23,57.5
2014,1,6,ATL,Jake Matthews,T,22,""
2014,1,7,TAM,Mike Evans,WR,21,""
2014,1,8,CLE,Justin Gilbert,DB,22,""
2014,1,9,MIN,Anthony Barr,LB,22,14.5
2014,1,10,DET,Eric Ebron,TE,21,""
2014,1,11,TEN,Taylor Lewan,T,23,""
2014,1,12,NYG,Odell Beckham,WR,21,""
2014,1,13,STL,Aaron Donald,DT,23,60.5
2014,1,14,CHI,Kyle Fuller,DB,22,""
2014,1,15,PIT,Ryan Shazier,LB,22,7.0
2014,1,16,DAL,Zack Martin,G,23,""
2014,1,17,BAL,C.J. Mosley,LB,22,8.5
2014,1,18,NYJ,Calvin Pryor,DB,22,0.5
2014,1,19,MIA,Ja'Wuan James,T,22,""
2014,1,20,NOR,Brandin Cooks,WR,20,""
2014,1,21,GNB,Ha Ha Clinton-Dix,DB,21,5.5
2014,1,22,CLE,Johnny Manziel,QB,21,""
2014,1,23,KAN,Dee Ford,LB,23,32.5
2014,1,24,CIN,Darqueze Dennard,DB,22,3.0
2014,1,25,SDG,Jason Verrett,DB,23,""
2014,1,26,PHI,Marcus Smith,LB,22,6.5
2014,1,27,ARI,Deone Bucannon,DB,22,7.0
2014,1,28,CAR,Kelvin Benjamin,WR,23,""
2014,1,29,NWE,Dominique Easley,DT,22,6.5
2014,1,30,SFO,Jimmie Ward,DB,23,2.0
2014,1,31,DEN,Bradley Roby,DB,22,3.0
2014,1,32,MIN,Teddy Bridgewater,QB,21,""
2014,2,33,HOU,Xavier Su'a-Filo,G,23,""
2014,2,34,DAL,Demarcus Lawrence,DE,22,36.5
2014,2,35,CLE,Joel Bitonio,G,22,""
2014,2,36,OAK,Derek Carr,QB,23,""
2014,2,37,ATL,Ra'Shede Hageman,DT,24,4.0
2014,2,38,TAM,Austin Seferian-Jenkins,TE,21,""
2014,2,39,JAX,Marqise Lee,WR,22,""
2014,2,40,DET,Kyle Van Noy,LB,23,13.5
2014,2,41,STL,Lamarcus Joyner,DB,23,5.0
2014,2,42,PHI,Jordan Matthews,WR,22,""
2014,2,43,NYG,Weston Richburg,OL,23,""
2014,2,44,BUF,Cyrus Kouandjio,T,21,""
