1939,Rnd,Pick,Tm,Player,Pos,Age,College/Univ
1939,1,1,CRD,Ki Aldrich,C,23,TCU
1939,1,2,CHI,Sid Luckman HOF,QB,22,Columbia
1939,1,3,RAM,Parker Hall,TB,22,Mississippi
1939,1,4,PHI,Davey O'Brien,QB,22,TCU
1939,1,5,BKN,Bob MacLeod,HB,21,Dartmouth
1939,1,6,CHI,Bill Osmanski,FB,23,Holy Cross
1939,1,7,DET,Johnny Pingel,TB,22,Michigan St.
1939,1,8,WAS,I.B. Hale,T,"",TCU
1939,1,9,GNB,Larry Buhler,B,22,Minnesota
1939,1,10,NYG,Walt Nielsen,FB,22,Arizona
1939,2,11,BKN,Pug Manders,FB,26,Drake
1939,2,12,CRD,Marshall Goldberg,B,21,Pittsburgh
1939,2,13,RAM,Gaylon Smith,FB,23,Rhodes
1939,2,14,PHI,Chuck Newton,FB,22,Washington
1939,2,15,BKN,Bob Haak,G,23,Indiana
1939,3,16,CRD,Alvord Wolff,T,"",Santa Clara
1939,3,17,PIT,Billy Patterson,B,21,Baylor
1939,3,18,RAM,Elmer Tarbox,B,"",Texas Tech
1939,3,19,PHI,Joe Mihal,T,23,Purdue
1939,3,20,BKN,Waddy Young,E,23,Oklahoma
1939,3,21,CHI,John Wysocki,E,"",Villanova
1939,3,22,DET,Howie Weiss,FB,21,Wisconsin
1939,3,23,WAS,Charley Holm,B,"",Alabama
1939,3,24,GNB,Charley Brock,C,23,Nebraska
1939,3,25,NYG,John Chickerneo,B,22,Pittsburgh
1939,4,26,PIT,Hugh McCullough,TB,23,Oklahoma
1939,4,27,CRD,Hal (Curly) Stebbins,B,"",Pittsburgh
1939,4,28,RAM,Wally Garard,T,"",""
1939,4,29,PHI,Billy Dewell,E,22,SMU
1939,4,30,BKN,Vic Bottari,B,"",California
1939,5,31,CRD,Bill Daddio,E,23,Pittsburgh
1939,5,32,PIT,Ernie Wheeler,DB,24,North Dakota St.
1939,5,33,RAM,Eddie Gatto,T,"",LSU
1939,5,34,PHI,Zed Coston,C,24,Texas A&M
1939,5,35,BKN,Jack Kinnison,C,"",Missouri
1939,5,36,CHI,Joe Delaney,T,"",Holy Cross
1939,5,37,DET,Steve Maronic,T,22,North Carolina
1939,5,38,WAS,Dick Todd,B,24,Texas A&M
1939,5,39,GNB,Lynn Hovland,G,"",Wisconsin
1939,5,40,NYG,Don Willis,B,"",Clemson
1939,6,41,PIT,Sam Boyd,E,25,Baylor
1939,6,42,CRD,George Faust,BB,21,Minnesota
1939,6,43,RAM,Barney McGarry,G,21,Utah
1939,6,44,PHI,Jake Schuehle,HB,21,Rice
1939,6,45,BKN,Len Janiak,B,23,Ohio
1939,6,46,BKN,Ed Beinor,T,21,Notre Dame
1939,6,47,DET,Joe Wendlick,E,23,Oregon St.
1939,6,48,WAS,Dave Anderson,B,"",California
1939,6,49,GNB,Larry Craig,QB,23,South Carolina
1939,6,50,NYG,Jerry Ginney,G,23,Santa Clara
1939,7,51,CRD,Bill Dwyer,B,"",New Mexico
1939,7,52,PIT,Eddie Palumbo,B,"",Detroit Mercy
1939,7,53,RAM,Jerry Dowd,C,22,St. Mary's (CA)
1939,7,54,PHI,Tony Ippolito,G,21,Purdue
1939,7,55,BKN,Alex Schoenbaum,T,"",Ohio St.
1939,7,56,CHI,Charles Heileman,E,24,Iowa St.
1939,7,57,DET,Darrell Tully,TB,21,Texas A&M-Commerce
1939,7,58,WAS,Quinton Lumpkin,C,"",Georgia
1939,7,59,GNB,Frank Twedell,G,22,Minnesota
1939,7,60,NYG,Lloyd Woodell,C,"",Arkansas
1939,8,61,PIT,Ole Nelson,E,"",Michigan St.
1939,8,62,CRD,Sherm Hinkebein,C,"",Kentucky
1939,8,63,RAM,Warren (Bronco) Brunner,B,"",Tulane
1939,8,64,PHI,George Somers,T,23,La Salle
1939,8,65,BKN,Dan (Tiger) Hill,C,"",Duke
1939,8,66,CHI,Bob Dannies,C,"",Pittsburgh
1939,8,67,DET,Dick Trzuskowski,T,"",Idaho
1939,8,68,WAS,Bo Russell,T,23,Auburn
1939,8,69,GNB,Paul Kell,T,24,Notre Dame
1939,8,70,NYG,Pete Zagar,T,"",Stanford
1939,9,71,CRD,Earl Brown,E,"",Notre Dame
1939,9,72,PIT,Steve Petro,G,24,Pittsburgh
1939,9,73,RAM,Lew Bostick,G,22,Alabama
1939,9,74,PHI,Rankin Britt,E,24,Texas A&M
1939,9,75,BKN,Forrest Kline,G,"",TCU
1939,9,76,CHI,Ray Bray,G,22,North Carolina
1939,9,77,DET,Bill Callihan,B,23,Nebraska
1939,9,78,WAS,Wilbur Moore,WB,23,Minnesota
1939,9,79,GNB,Johnny Hall,WB,22,TCU
1939,9,80,NYG,Bob Mills,T,"",Nebraska
1939,10,81,PIT,Jack Lee,BB,22,Carnegie Mellon
1939,10,82,CRD,Earl Crowder,BB,24,Oklahoma
1939,10,83,RAM,Frank Petrick,E,"",Indiana
1939,10,84,PHI,Bill McKeever,T,"",Cornell
1939,10,85,BKN,Kimble Bradley,B,"",Mississippi
1939,10,86,CHI,Walt Wood,B,"",Tennessee
1939,10,87,DET,Ray George,T,23,USC
1939,10,88,WAS,Jimmy Johnston,B,22,Washington
1939,10,89,GNB,Vince Gavre,B,"",Wisconsin
1939,10,90,NYG,Tom Roberts,T,23,DePaul
1939,11,91,CRD,Bowden Wyatt,E,"",Tennessee
1939,11,92,PIT,Lou Tomasetti,FB,23,Bucknell
1939,11,93,RAM,Sid Roth,G,"",Cornell
1939,11,94,PHI,Paul Humphrey,C,22,Purdue
1939,11,95,BKN,George Lenc,E,21,Augustana (IL)
1939,11,96,CHI,Al Braga,B,"",San Francisco
1939,11,97,DET,Tony Calvelli,C,24,Stanford
1939,11,98,WAS,Jimmy German,TB,21,Centre
1939,11,99,GNB,Charley Sprague,E,"",SMU
1939,11,100,NYG,Merl Miller,B,"",Washington
1939,12,101,PIT,Denny Cochran,B,"",St. Louis
1939,12,102,CRD,Jim Thomas,G,22,Oklahoma
1939,12,103,RAM,Chet Adams,T,23,Ohio
1939,12,104,PHI,Jack Kraynick,B,"",North Carolina
1939,12,105,BKN,Ralph Heikkinen,G,22,Michigan
1939,12,106,CHI,Hal Roise,B,"",Idaho
1939,12,107,DET,Jim Coughlan,E,"",Santa Clara
1939,12,108,WAS,Bob O'Mara,B,"",Duke
