1982,Rnd,Pick,Tm,Player,Pos,Age,College/Univ
1982,1,1,NWE,Kenneth Sims,DE,22,Texas
1982,1,2,BAL,Johnie Cooks,LB,23,Mississippi St.
1982,1,3,CLE,Chip Banks,LB,22,USC
1982,1,4,BAL,Art Schlichter,QB,22,Ohio St.
1982,1,5,CHI,Jim McMahon,QB,23,BYU
1982,1,6,SEA,Jeff Bryant,DE,22,Clemson
1982,1,7,MIN,Darrin Nelson,RB,23,Stanford
1982,1,8,HOU,Mike Munchak HOF,G,22,Penn St.
1982,1,9,ATL,Gerald Riggs,RB,21,Arizona St.
1982,1,10,RAI,Marcus Allen HOF,RB,22,USC
1982,1,11,KAN,Anthony Hancock,WR,22,Tennessee
1982,1,12,PIT,Walter Abercrombie,RB,22,Baylor
1982,1,13,NOR,Lindsay Scott,WR,21,Georgia
1982,1,14,RAM,Barry Redden,RB,22,Richmond
1982,1,15,DET,Jimmy Williams,LB,21,Nebraska
1982,1,16,STL,Luis Sharpe,T,22,UCLA
1982,1,17,TAM,Sean Farrell,G,22,Penn St.
1982,1,18,NYG,Butch Woolfolk,RB,22,Michigan
1982,1,19,BUF,Perry Tuttle,WR,23,Clemson
1982,1,20,PHI,Mike Quick,WR,23,North Carolina St.
1982,1,21,DEN,Gerald Willhite,RB,23,San Jose St.
1982,1,22,GNB,Ron Hallstrom,G,23,Iowa
1982,1,23,NYJ,Bob Crable,LB,22,Notre Dame
1982,1,24,MIA,Roy Foster,G,22,USC
1982,1,25,DAL,Rod Hill,DB,23,Kentucky St.
1982,1,26,CIN,Glen Collins,DE,23,Mississippi St.
1982,1,27,NWE,Lester Williams,NT,23,Miami (FL)
1982,2,28,BAL,Leo Wisniewski,NT,22,Penn St.
1982,2,29,SFO,Bubba Paris,T,21,Michigan
1982,2,30,NOR,Brad Edelman,G,22,Missouri
1982,2,31,CLE,Keith Baldwin,DE,21,Texas A&M
1982,2,32,TAM,Booker Reese,DE,22,Bethune-Cookman
