2010,Rnd,Pick,Tm,Player,Pos,Age,Sk
2010,1,1,STL,Sam Bradford,QB,22,""
2010,1,2,DET,Ndamukong Suh,DT,23,56.0
2010,1,3,TAM,Gerald McCoy,DT,22,54.5
2010,1,4,WAS,Trent Williams,T,22,""
2010,1,5,KAN,Eric Berry,DB,21,5.5
2010,1,6,SEA,Russell Okung,T,22,""
2010,1,7,CLE,Joe Haden,DB,21,3.0
2010,1,8,OAK,Rolando McClain,LB,21,9.5
2010,1,9,BUF,C.J. Spiller,RB,23,""
2010,1,10,JAX,Tyson Alualu,DT,23,22.5
2010,1,11,SFO,Anthony Davis,T,20,""
2010,1,12,SDG,Ryan Mathews,RB,22,""
2010,1,13,PHI,Brandon Graham,DE,22,42.5
2010,1,14,SEA,Earl Thomas,DB,21,""
2010,1,15,NYG,Jason Pierre-Paul,DE,21,71.0
2010,1,16,TEN,Derrick Morgan,DE,21,44.5
2010,1,17,SFO,Mike Iupati,G,23,""
2010,1,18,PIT,Maurkice Pouncey,C,21,""
2010,1,19,ATL,Sean Weatherspoon,LB,22,8.0
2010,1,20,HOU,Kareem Jackson,DB,22,2.0
2010,1,21,CIN,Jermaine Gresham,TE,22,""
2010,1,22,DEN,Demaryius Thomas,WR,22,""
2010,1,23,GNB,Bryan Bulaga,T,21,""
2010,1,24,DAL,Dez Bryant,WR,21,""
2010,1,25,DEN,Tim Tebow,QB,23,""
2010,1,26,ARI,Dan Williams,DT,23,3.5
2010,1,27,NWE,Devin McCourty,DB,23,3.0
2010,1,28,MIA,Jared Odrick,DE,22,23.0
2010,1,29,NYJ,Kyle Wilson,DB,23,1.0
2010,1,30,DET,Jahvid Best,RB,21,""
2010,1,31,IND,Jerry Hughes,DE,22,48.5
2010,1,32,NOR,Patrick Robinson,DB,23,2.0
2010,2,33,STL,Rodger Saffold,T,22,""
2010,2,34,MIN,Chris Cook,DB,23,1.0
2010,2,35,TAM,Brian Price,DT,21,3.0
2010,2,36,KAN,Dexter McCluster,WR,21,""
2010,2,37,PHI,Nate Allen,DB,22,4.0
2010,2,38,CLE,T.J. Ward,DB,23,8.5
2010,2,39,TAM,Arrelious Benn,WR,21,""
2010,2,40,MIA,Koa Misi,LB,23,12.0
2010,2,41,BUF,Torell Troup,DT,21,""
2010,2,42,NWE,Rob Gronkowski,TE,21,""
2010,2,43,BAL,Sergio Kindle,LB,22,""
2010,2,44,OAK,Lamarr Houston,DE,23,30.5
2010,2,45,DEN,Zane Beadles,G,23,""
2010,2,46,NYG,Linval Joseph,DT,21,23.0
2010,2,47,ARI,Daryl Washington,LB,23,18.0
2010,2,48,CAR,Jimmy Clausen,QB,22,""
2010,2,49,SFO,Taylor Mays,DB,22,1.0
2010,2,50,KAN,Javier Arenas,DB,22,5.0
2010,2,51,MIN,Toby Gerhart,RB,23,""
2010,2,52,PIT,Jason Worilds,DE,22,25.5
2010,2,53,NWE,Jermaine Cunningham,LB,22,3.5
2010,2,54,CIN,Carlos Dunlap,DE,21,73.5
2010,2,55,DAL,Sean Lee,LB,24,3.0
2010,2,56,GNB,Mike Neal,DE,23,19.0
2010,2,57,BAL,Terrence Cody,DT,22,""
2010,2,58,HOU,Ben Tate,RB,22,""
2010,2,59,CLE,Montario Hardesty,RB,23,""
2010,2,60,SEA,Golden Tate,WR,22,""
