1947,Rnd,Pick,Tm,Player,Pos,Age,College/Univ
1947,1,1,CHI,Bob Fenimore,HB,21,Oklahoma St.
1947,1,2,DET,Glenn Davis,HB,22,Army
1947,1,3,BOS,Fritz Barzilauskas,G,27,Yale
1947,1,4,WAS,Cal Rossi,B,"",UCLA
1947,1,5,PIT,Hub Bechtol,E,21,Texas Tech
1947,1,6,GNB,Ernie Case,QB,27,UCLA
1947,1,7,CRD,Tex Coulter,T,22,Army
1947,1,8,PHI,Neill Armstrong,E,21,Oklahoma St.
1947,1,9,RAM,Herm Wedemeyer,B,23,St. Mary's (CA)
1947,1,10,NYG,Vic Schwall,HB,22,Northwestern
1947,1,11,CHI,Don Kindt,DB,22,Wisconsin
1947,2,12,DET,Russ Thomas,T,"",Ohio St.
1947,2,13,BOS,Walt Heap,B,25,Texas
1947,3,14,DET,Jim Kekeris,T,23,Missouri
1947,3,15,BOS,John Rapacz,C,23,Oklahoma
1947,3,16,PIT,John Mastrangelo,T,21,Notre Dame
1947,3,17,WAS,Gene (Red) Knight,B,"",LSU
1947,3,18,CRD,Ermal Allen,QB,28,Kentucky
1947,3,19,PHI,Bill Mackrides,QB,22,Nevada
1947,3,20,GNB,Burr Baldwin,E,25,UCLA
1947,3,21,RAM,Don Paul,LB,22,UCLA
1947,3,22,NYG,John Cannady,LB,24,Indiana
1947,3,23,CHI,Frank Minini,HB,25,San Jose St.
1947,4,24,DET,Charley Hoover,C,"",Vanderbilt
1947,4,25,BOS,Al Baldwin,E,24,Arkansas
1947,5,26,DET,Bob Chappuis,TB,24,Michigan
1947,5,27,BOS,Carroll Vogelaar,T,27,San Francisco
1947,5,28,WAS,Hank Foldberg,E,24,Army
1947,5,29,PIT,Frank Wydo,T,23,Cornell
1947,5,30,PHI,George Savitsky,T,23,Pennsylvania
1947,5,31,GNB,Buddy Burris,G,24,Oklahoma
1947,5,32,CHI,Lloyd Merriman,B,"",Stanford
1947,5,33,RAM,Gordon Gray,B,"",USC
1947,5,34,NYG,Nelson Greene,T,24,Tulsa
1947,5,35,CHI,Jim Canady,B,21,Ark-Monticello
1947,6,36,DET,Bernie Gallagher,G,25,Pennsylvania
1947,6,37,BOS,George Sullivan,E,21,Notre Dame
1947,6,38,PIT,Frank Aschenbrenner,RB,22,Northwestern
1947,6,39,WAS,Mike Garzoni,G,24,USC
1947,6,40,GNB,Gene Wilson,E,21,SMU
1947,6,41,CRD,Ben Raimondi,TB,22,Indiana
1947,6,42,CHI,Roger Stephens,B,"",Cincinnati
1947,6,43,RAM,Paul Evanson,T,"",Oregon St.
1947,6,44,NYG,Bob Davis,T,20,Georgia Tech
1947,6,45,CHI,Harlan Wetz,T,21,Texas
1947,7,46,DET,Ed Grain,G,25,Pennsylvania
1947,7,47,BOS,Joe Watt,HB,28,Syracuse
1947,7,48,WAS,Bill Gray,G,24,Oregon St.
1947,7,49,PIT,Bryant Meeks,C,21,South Carolina
1947,7,50,CRD,Howard Turner,B,"",North Carolina St.
1947,7,51,PHI,Tony Yovicsin,E,"",Miami (FL)
1947,7,52,GNB,Dick Conners,B,"",Northwestern
1947,7,53,RAM,Bill Smyth,DE,25,Penn St.
1947,7,54,NYG,Duke Iverson,B,27,Oregon
1947,7,55,CHI,Reid Moseley,E,"",Georgia
1947,8,56,DET,Harvey James,C,"",Miami (FL)
1947,8,57,BOS,Bill Chipley,E,27,Washington & Lee
1947,8,58,PIT,Jerry Shipkey,LB,21,UCLA
1947,8,59,WAS,Hank Harris,G,24,Texas
1947,8,60,CRD,George Maddock,T,"",Northwestern
1947,8,61,PHI,Al Satterfield,T,25,Vanderbilt
1947,8,62,GNB,Monte Moncrief,T,"",Texas A&M
1947,8,63,RAM,Bill McGovern,C,"",Washington
1947,8,64,NYG,Frank Muehlheuser,FB,21,Colgate
1947,8,65,CHI,Allen Smith,E,25,Mississippi
1947,9,66,DET,Kale Alexander,T,"",South Carolina
1947,9,67,BOS,Gene Malinowski,B,23,Detroit Mercy
1947,9,68,WAS,Roy Kurrasch,E,24,UCLA
1947,9,69,PIT,Bert Vander Clute,G,"",Wesleyan
1947,9,70,CRD,Art Dufelmeier,B,"",Illinois
1947,9,71,PHI,Bob Leonetti,G,24,Wake Forest
1947,9,72,GNB,Bob McDougal,FB,26,Miami (FL)
1947,9,73,RAM,Max Partin,B,"",Tennessee
1947,9,74,NYG,John Novitsky,T,"",Oklahoma City
1947,9,75,CHI,Dwight (Dike) Eddleman,B,"",Illinois
1947,10,76,DET,Chalmers (Bump) Elliott,B,"",Michigan
1947,10,77,BOS,Robert Hazelhurst,HB,23,Denver
1947,10,78,PIT,Paul Gibson,E,23,North Carolina St.
1947,10,79,WAS,Ernie Williamson,T,24,North Carolina
1947,10,80,PHI,Ulysses Cornogg,T,"",Wake Forest
1947,10,81,GNB,Bob Kelly,HB,22,Navy
1947,10,82,CRD,Ray Ramsey,B,26,Bradley
1947,10,83,RAM,Carl Samuelson,DT,24,Nebraska
1947,10,84,NYG,Fred Mullis,B,"",Tenn-Chattanooga
1947,10,85,CHI,Arnold Tucker,B,"",Army
1947,11,86,DET,Pete Sullivan,T,"",Detroit Mercy
1947,11,87,BOS,Alex Sidorik,T,27,Mississippi St.
1947,11,88,WAS,L.G. Carmody,B,"",Central Washington
1947,11,89,PIT,Jack Medd,C,"",Wesleyan
1947,11,90,CRD,Dave Wallace,B,"",Oklahoma
1947,11,91,PHI,Alex Sarkisian,C,"",Northwestern
1947,11,92,GNB,Tom Moulton,C,"",Oklahoma St.
1947,11,93,RAM,Russ Steger,B,"",Illinois
1947,11,94,NYG,Bob Hoernschemeyer,B,21,Navy
1947,11,95,CHI,Larry Hatch,B,"",Washington
1947,12,96,DET,LaVerne Camarata,B,"",Iowa St.
1947,12,97,BOS,Wally Roberts,E,"",Holy Cross
1947,12,98,PIT,Jack Fitch,B,"",North Carolina
1947,12,99,WAS,U.S. Savage,E,"",Richmond
1947,12,100,GNB,George Hills,G,"",Georgia Tech
1947,12,101,CRD,Charley Sarratt,QB,24,Oklahoma
1947,12,102,PHI,Jerry D'Arcy,C,"",Tulsa
1947,12,103,RAM,Dante Lavelli HOF,E,24,Ohio St.
1947,12,104,NYG,Hardy Brown,LB,23,Tulsa
1947,12,105,CHI,Tony Adamle,LB,23,Ohio St.
1947,13,106,DET,Walt Vezmar,G,22,Michigan St.
1947,13,107,BOS,Bob Sullivan,HB,22,Iowa
1947,13,108,WAS,Bob Steckroth,E,"",William & Mary
1947,13,109,PIT,Ara Parseghian,HB,24,Miami (OH)
1947,13,110,PHI,John Hamberger,T,"",SMU
1947,13,111,GNB,Bob Skoglund,DE,22,Notre Dame
1947,13,112,CRD,Hardin Cooper,T,"",Tulsa
1947,13,113,RAM,Mike Dimitro,G,"",UCLA
